fecha,linea,afluencia_total,afluencia_promedio
2020-01-14,Línea 2,765638,31901.583333333332
2020-01-28,Línea 5,235505,18115.76923076923
2020-01-16,Línea B,430500,20500.0
2020-01-24,Línea 6,168666,15333.272727272728
2016-07-05,Línea 12,314469,15723.45
2016-07-14,Línea 4,76761,8529.0
2018-03-21,Línea 5,246264,22387.636363636364
2018-03-21,Línea B,467505,22262.14285714286
2017-01-05,Línea 8,375560,19766.315789473683
2017-01-27,Línea 7,358799,25628.5
2017-01-19,Línea B,434116,21705.8
2017-07-30,Línea 1,494837,24741.85
2017-07-30,Línea B,275480,13118.095238095239
2017-07-12,Línea 9,337966,28163.833333333332
2017-07-18,Línea 1,751204,37560.2
2017-07-07,Línea 5,252020,19386.153846153848
2016-01-14,Línea 12,300034,15001.7
2016-01-18,Línea 4,85430,8543.0
2013-03-22,Línea A,302120,30212.0
2018-05-12,Línea 1,605965,31892.894736842107
2018-05-02,Línea 8,408719,21511.526315789473
2018-05-21,Línea B,391661,19583.05
2018-05-23,Línea 1,635999,33473.63157894737
2019-12-08,Línea 8,378473,21026.277777777777
2014-01-10,Línea 1,747670,37383.5
2014-01-26,Línea 4,50714,5071.4
2019-03-27,Línea 5,251700,19361.53846153846
2019-03-15,Línea 2,860037,35834.875
2019-03-05,Línea 5,256843,19757.153846153848
2017-05-29,Línea 5,231702,19308.5
2017-05-08,Línea 2,754786,32816.782608695656
2013-12-11,Línea 9,408227,34018.916666666664
2018-01-03,Línea 7,281854,20132.428571428572
2018-01-06,Línea 2,661490,27562.083333333332
2018-01-23,Línea 2,817576,34065.666666666664
2018-01-20,Línea 4,82947,8294.7
2018-01-18,Línea 9,366860,30571.666666666668
2020-01-13,Línea 2,743691,30987.125
2020-01-24,Línea 1,715544,37660.21052631579
2020-01-20,Línea 11,37050,37050.0
2012-12-22,Línea 7,179864,13835.692307692309
2012-12-25,Línea 8,159320,8385.263157894737
2012-12-30,Línea A,135031,13503.1
2016-07-22,Línea 5,189223,15768.583333333334
2016-07-02,Línea 1,720787,36039.35
2019-07-17,Línea 1,700021,35001.05
2019-07-28,Línea 6,86737,7885.181818181818
2015-12-12,Línea B,442737,22136.85
2015-12-16,Línea B,504668,25233.4
2018-03-22,Línea 3,749271,35679.57142857143
2018-03-24,Línea 6,114248,10386.181818181818
2018-03-10,Línea 7,218803,16831.0
2018-03-06,Línea 1,673997,35473.52631578947
2018-03-05,Línea A,320971,32097.1
2017-01-14,Línea 8,360958,18997.78947368421
2017-01-26,Línea 8,392704,20668.63157894737
2017-01-26,Línea 1,769979,38498.95
2017-01-30,Línea 4,91181,9118.1
2017-01-29,Línea 12,157435,7871.75
2017-07-22,Línea 3,507945,24187.85714285714
2016-01-03,Línea 4,51597,5159.7
2013-03-03,Línea 6,63686,6368.6
2013-03-25,Línea 7,256321,18308.64285714286
2013-03-24,Línea 5,144517,11116.692307692309
2018-05-30,Línea 4,94235,9423.5
2019-12-17,Línea 6,143231,13021.0
2017-05-01,Línea 2,429154,18658.869565217392
2017-05-03,Línea 4,92775,9277.5
2017-05-26,Línea 2,899968,37498.666666666664
2017-05-16,Línea A,299090,29909.0
2017-05-14,Línea 4,49061,4906.1
2013-12-28,Línea 1,618646,32560.315789473683
2018-01-26,Línea 1,636461,35358.944444444445
2018-01-27,Línea 6,105074,9552.181818181818
2012-12-10,Línea 7,278554,19896.714285714286
2012-12-15,Línea 4,92186,9218.6
2012-12-21,Línea 12,218963,10948.15
2016-07-23,Línea B,397464,18926.85714285714
2016-07-30,Línea 2,745747,31072.791666666668
2019-07-14,Línea 3,259630,14423.888888888889
2019-07-05,Línea 12,423898,21194.9
2019-07-16,Línea A,231787,23178.7
2015-12-01,Línea B,489135,23292.14285714286
2015-12-12,Línea 9,304079,25339.916666666668
2015-12-13,Línea 7,137437,9816.92857142857
2015-12-01,Línea A,316217,31621.7
2018-03-08,Línea A,330590,33059.0
2018-03-07,Línea 8,425810,22411.052631578947
2017-01-16,Línea 7,307596,23661.23076923077
2016-01-11,Línea 6,158508,14409.818181818182
2016-01-18,Línea 3,703254,33488.28571428572
2016-01-16,Línea A,237830,23783.0
2013-03-19,Línea 7,290339,20738.5
2013-03-12,Línea A,287616,28761.6
2018-05-05,Línea A,259625,25962.5
2018-05-06,Línea A,169912,16991.2
2018-05-02,Línea B,435151,21757.55
2018-05-11,Línea 2,833907,34746.125
2018-05-05,Línea 5,191016,15918.0
2019-12-01,Línea 3,517185,24627.85714285714
2019-12-04,Línea 6,168891,16889.1
2014-01-25,Línea 8,343728,18090.947368421053
2014-01-09,Línea 12,296986,14849.3
2014-01-20,Línea 11,17614,17614.0
2019-03-21,Línea B,435295,21764.75
2019-03-15,Línea A,254547,25454.7
2019-03-30,Línea 2,701071,30481.347826086956
2019-03-26,Línea A,240079,24007.9
2019-03-23,Línea A,183130,18313.0
2017-05-03,Línea A,327085,32708.5
2017-05-15,Línea 5,233909,17993.0
2013-12-08,Línea 3,404180,19246.666666666668
2020-01-30,Línea A,263631,26363.1
2020-01-28,Línea B,406385,20319.25
2020-01-14,Línea 7,364149,26010.64285714286
2020-01-17,Línea 9,325066,27088.833333333332
2020-01-28,Línea 6,172273,15661.181818181818
2012-12-04,Línea 12,214430,11912.777777777777
2012-12-19,Línea 6,152642,13876.545454545454
2016-07-04,Línea B,399729,21038.36842105263
2019-07-14,Línea 1,412365,20618.25
2019-07-14,Línea 6,66960,6087.272727272727
2019-07-28,Línea 9,151354,13759.454545454546
2015-12-26,Línea B,373274,17774.95238095238
2015-12-26,Línea 2,573626,24940.260869565216
2018-03-08,Línea 2,829421,34559.208333333336
2017-01-20,Línea 6,154573,14052.09090909091
2017-01-21,Línea 9,295755,24646.25
2017-01-16,Línea 1,682167,37898.166666666664
2017-07-12,Línea 8,376629,19822.57894736842
2017-07-14,Línea 8,363971,20220.61111111111
2016-01-16,Línea 3,566746,26987.904761904763
2016-01-27,Línea 6,156836,14257.818181818182
2013-03-23,Línea 7,210513,15036.642857142857
2013-03-31,Línea 2,369790,15407.916666666666
2013-03-11,Línea 5,243180,18706.153846153848
2018-05-16,Línea 5,260221,20017.0
2014-01-16,Línea 9,385334,32111.166666666668
2014-01-07,Línea 9,289201,28920.1
2014-01-12,Línea 7,105889,7563.5
2014-01-11,Línea 5,226813,15120.866666666667
2019-03-26,Línea 5,252928,19456.0
2017-05-12,Línea 2,895689,37320.375
2017-05-26,Línea 12,388199,19409.95
2017-05-02,Línea B,439795,21989.75
2013-12-02,Línea 6,169594,15417.636363636364
2018-01-11,Línea 4,92206,9220.6
2018-01-07,Línea 1,397358,19867.9
2020-01-08,Línea 2,699533,30414.478260869564
2020-01-05,Línea A,112056,12450.666666666666
2012-12-03,Línea 2,930471,40455.260869565216
2012-12-19,Línea 5,233001,17923.153846153848
2016-07-30,Línea 8,348440,18338.947368421053
2019-07-03,Línea 4,94297,9429.7
2019-07-09,Línea B,404774,19274.95238095238
2015-12-09,Línea 2,831402,37791.0
2015-12-29,Línea A,236121,23612.1
2018-03-18,Línea 5,126800,10566.666666666666
2018-03-07,Línea 5,289671,22282.384615384617
2018-03-16,Línea 3,763015,36334.04761904762
2018-03-06,Línea A,325425,32542.5
2017-01-04,Línea 4,97579,9757.9
2017-07-19,Línea 7,332209,25554.53846153846
2016-01-07,Línea 1,729160,36458.0
2018-05-10,Línea 8,354360,18650.526315789473
2019-12-15,Línea 2,567792,23658.0
2019-12-11,Línea A,236801,26311.222222222223
2014-01-19,Línea 9,164611,13717.583333333334
2014-01-08,Línea B,455386,21685.04761904762
2014-01-18,Línea 2,714146,29756.083333333332
2019-03-22,Línea 1,712657,35632.85
2017-05-03,Línea 7,331925,23708.928571428572
2017-05-05,Línea 2,792931,34475.260869565216
2017-05-29,Línea 4,84725,8472.5
2013-12-27,Línea 3,548055,26097.85714285714
2018-01-20,Línea 3,499512,24975.6
2018-01-23,Línea 4,95598,9559.8
2020-01-31,Línea 5,250019,19232.23076923077
2016-07-12,Línea 2,762078,31753.25
2016-07-31,Línea 8,226747,11934.052631578947
2019-07-08,Línea 6,170828,15529.818181818182
2015-12-01,Línea 9,351145,31922.272727272728
2017-01-04,Línea 9,334810,27900.833333333332
2017-07-19,Línea 3,589978,29498.9
2016-01-25,Línea 8,381963,21220.166666666668
2016-01-31,Línea 5,130085,10006.538461538461
2013-03-26,Línea 5,221024,17001.846153846152
2013-03-04,Línea 3,726754,38250.21052631579
2013-03-12,Línea 6,153737,13976.09090909091
2013-03-21,Línea 2,884845,40220.22727272727
2013-03-22,Línea 4,76359,8484.333333333334
2018-05-16,Línea 6,159424,14493.09090909091
2014-01-25,Línea 1,644151,32207.55
2014-01-16,Línea A,299531,29953.1
2014-01-17,Línea 12,292999,15421.0
2018-03-18,Línea A,181387,18138.7
2017-05-24,Línea 7,386711,25780.733333333334
2017-05-07,Línea 8,224843,11833.842105263158
2013-12-03,Línea 2,970713,40446.375
2018-01-30,Línea 5,254701,19592.384615384617
2018-01-19,Línea 9,363979,30331.583333333332
2012-12-10,Línea 6,184403,16763.909090909092
2012-12-05,Línea A,266022,26602.2
2012-12-14,Línea 6,177989,16180.818181818182
2016-07-23,Línea 8,300604,16700.222222222223
2019-07-17,Línea 12,400088,20004.4
2015-12-18,Línea 2,896177,38964.217391304344
2015-12-16,Línea 5,255418,21284.833333333332
2017-01-29,Línea 3,366114,17434.0
2017-07-08,Línea 8,311051,17280.61111111111
2017-07-09,Línea 1,424930,21246.5
2017-07-24,Línea 3,627563,29883.95238095238
2016-01-16,Línea 7,235906,16850.428571428572
2013-03-07,Línea 8,404654,21297.57894736842
2013-03-11,Línea 6,171665,14305.416666666666
2013-03-05,Línea 4,87727,8772.7
2018-05-12,Línea B,357416,17019.809523809523
2018-05-19,Línea 4,65578,7286.444444444444
2018-05-20,Línea 7,114317,8165.5
2019-12-22,Línea 3,342066,16288.857142857143
2014-01-13,Línea 2,776676,35303.454545454544
2014-01-14,Línea 2,843646,35151.916666666664
2014-01-26,Línea 3,356712,16986.285714285714
2014-01-20,Línea 1,787002,39350.1
2014-01-13,Línea 12,247214,13734.111111111111
2014-01-16,Línea 12,292131,14606.55
2014-01-25,Línea 6,105748,9613.454545454546
2019-03-21,Línea 6,164813,14983.0
2017-05-01,Línea 12,169881,8494.05
2017-05-28,Línea A,178731,17873.1
2013-12-05,Línea 5,273605,21046.53846153846
2013-12-10,Línea 7,291654,22434.923076923078
2013-12-14,Línea 4,96033,9603.3
2013-12-06,Línea 5,265625,20432.69230769231
2020-01-01,Línea 1,250856,13202.947368421053
2020-01-18,Línea 1,554649,29192.052631578947
2020-01-21,Línea 1,679054,33952.7
2020-01-29,Línea 1,688723,34436.15
2020-01-04,Línea 2,638458,27759.043478260868
2012-12-15,Línea 7,196204,14014.57142857143
2012-12-04,Línea 1,816815,40840.75
2016-07-31,Línea 7,127569,9112.07142857143
2016-07-21,Línea B,416971,19855.761904761905
2019-07-19,Línea 12,404165,20208.25
2015-12-31,Línea B,372596,17742.666666666668
2015-12-14,Línea 8,417447,23191.5
2018-03-02,Línea 6,174867,15897.0
2018-03-31,Línea B,241592,12715.368421052632
2017-01-09,Línea 7,325674,23262.428571428572
2017-07-05,Línea 2,777753,35352.40909090909
2017-07-01,Línea 9,286539,23878.25
2017-07-05,Línea 4,91198,9119.8
2016-01-20,Línea 3,723454,34450.19047619047
2013-03-15,Línea 4,91129,9112.9
2018-05-28,Línea 9,320445,29131.363636363636
2019-12-14,Línea 3,513180,25659.0
2019-12-20,Línea 3,685894,32661.619047619046
2019-03-26,Línea 8,408775,22709.722222222223
2019-03-09,Línea 1,727362,38282.21052631579
2019-03-16,Línea 6,114666,10424.181818181818
2019-03-08,Línea B,397767,18941.285714285714
2019-03-29,Línea 4,87560,8756.0
2013-12-26,Línea 3,505610,24076.666666666668
2018-01-28,Línea 7,128248,9160.57142857143
2016-07-07,Línea 12,315473,15773.65
2016-07-29,Línea 1,799568,39978.4
2019-07-30,Línea 3,645398,30733.238095238095
2015-12-15,Línea 1,832424,41621.2
2015-12-10,Línea 3,704738,35236.9
2018-03-29,Línea 2,555236,24140.695652173912
2017-01-15,Línea B,292294,13918.761904761905
2017-07-23,Línea 2,425129,17713.708333333332
2017-07-07,Línea 9,364501,30375.083333333332
2017-07-28,Línea 4,92397,9239.7
2016-01-22,Línea 1,800791,40039.55
2016-01-15,Línea A,284621,31624.555555555555
2013-03-08,Línea 2,931499,38812.458333333336
2013-03-16,Línea 3,598091,28480.52380952381
2013-03-09,Línea A,217599,21759.9
2013-03-17,Línea 7,119041,8502.92857142857
2019-12-13,Línea 5,219982,16921.69230769231
2019-12-11,Línea B,461900,23095.0
2014-01-18,Línea 11,27667,27667.0
2019-03-11,Línea 9,134018,12183.454545454546
2017-05-09,Línea 9,306285,27844.090909090908
2018-01-10,Línea 4,91782,9178.2
2020-01-02,Línea 9,174335,17433.5
2020-01-02,Línea 8,299803,16655.722222222223
2012-12-23,Línea B,377964,18898.2
2012-12-12,Línea 9,286087,28608.7
2016-07-02,Línea B,406559,20327.95
2019-07-12,Línea B,438516,21925.8
2019-07-21,Línea 7,139892,9992.285714285714
2015-12-14,Línea 2,875535,36480.625
2015-12-10,Línea 6,179350,16304.545454545454
2015-12-08,Línea 7,317692,22692.285714285714
2018-03-20,Línea 3,723452,34450.09523809524
2017-01-08,Línea 4,48450,4845.0
2017-07-23,Línea 1,442399,22119.95
2017-07-15,Línea 1,678148,33907.4
2016-01-28,Línea 2,734853,31950.130434782608
2016-01-15,Línea 5,260718,20055.23076923077
2016-01-17,Línea 7,124535,8895.357142857143
2018-05-01,Línea 12,214407,10720.35
2018-05-25,Línea 1,738139,38849.42105263158
2018-05-13,Línea 8,180052,10591.29411764706
2018-05-26,Línea A,251423,25142.3
2014-01-29,Línea 4,93014,9301.4
2019-03-29,Línea 5,242666,20222.166666666668
2018-01-11,Línea 6,150321,15032.1
2018-01-01,Línea 9,81164,7378.545454545455
2018-01-30,Línea 4,89375,8937.5
2020-01-10,Línea A,207953,23105.88888888889
2020-01-22,Línea 5,233024,17924.923076923078
2012-12-12,Línea 3,695783,33132.52380952381
2012-12-18,Línea 3,633098,31654.9
2015-12-29,Línea 8,356325,18753.947368421053
2018-03-08,Línea 4,95012,9501.2
2018-03-21,Línea 4,94570,9457.0
2018-03-23,Línea 2,891406,38756.782608695656
2017-01-11,Línea 1,712971,35648.55
2017-07-07,Línea 8,389388,20494.105263157893
2017-07-24,Línea 2,729793,30408.041666666668
2017-07-22,Línea B,333377,17546.157894736843
2016-01-16,Línea 12,213886,10694.3
2013-03-02,Línea 3,528684,26434.2
2019-12-12,Línea 8,415810,21884.736842105263
2019-12-27,Línea 2,668210,29052.608695652172
2019-12-04,Línea 4,93612,9361.2
2014-01-04,Línea 8,322539,17918.833333333332
2017-05-04,Línea 7,344393,24599.5
2017-05-04,Línea 12,377047,19844.57894736842
2013-12-07,Línea B,445146,22257.3
2018-01-18,Línea B,365188,18259.4
2020-01-30,Línea 9,322547,26878.916666666668
2020-01-24,Línea 12,451372,22568.6
2020-01-30,Línea 3,767490,36547.142857142855
2020-01-18,Línea A,205017,20501.7
2012-12-14,Línea 1,708637,39368.72222222222
2012-12-15,Línea 1,742877,37143.85
2012-12-29,Línea 1,635673,31783.65
2016-07-17,Línea 8,214878,11309.368421052632
2016-07-29,Línea 3,671199,31961.85714285714
2019-07-31,Línea 9,289932,24161.0
2019-07-15,Línea 7,324956,23211.14285714286
2015-12-16,Línea 1,826201,43484.26315789474
2015-12-12,Línea 12,214392,10719.6
2015-12-25,Línea 8,138396,7688.666666666667
2018-03-09,Línea 9,361160,30096.666666666668
2018-03-08,Línea 1,685043,36054.89473684211
2017-01-09,Línea 6,140266,12751.454545454546
2017-01-02,Línea 8,324527,18029.277777777777
2017-01-06,Línea 4,79137,7913.7
2017-07-13,Línea 3,677427,32258.428571428572
2013-03-31,Línea 4,44660,4466.0
2013-03-11,Línea 8,387083,20372.78947368421
2018-05-05,Línea 2,756804,31533.5
2019-12-21,Línea 3,499502,23785.809523809523
2014-01-15,Línea 12,307830,15391.5
2014-01-22,Línea 1,757839,37891.95
2019-03-23,Línea 3,525186,25008.85714285714
2019-03-14,Línea 12,434528,21726.4
2017-05-31,Línea 9,302949,27540.81818181818
2013-12-25,Línea 8,145817,7674.578947368421
2013-12-30,Línea 5,166514,12808.76923076923
2018-01-23,Línea 5,249357,20779.75
2018-01-04,Línea 6,135335,12303.181818181818
2018-01-12,Línea 7,327254,23375.285714285714
2020-01-20,Línea 4,76505,7650.5
2020-01-11,Línea 3,474266,22584.095238095237
2012-12-05,Línea 2,964787,40199.458333333336
2012-12-30,Línea 1,489485,24474.25
2016-07-10,Línea 4,50232,5581.333333333333
2019-07-10,Línea 12,449181,22459.05
2015-12-02,Línea B,500426,23829.809523809523
2018-03-09,Línea 1,616258,34236.555555555555
2018-03-16,Línea 5,304455,23419.615384615383
2017-01-10,Línea 1,689206,36274.0
2017-01-17,Línea 12,323477,17970.944444444445
2017-01-23,Línea 2,799680,33320.0
2017-07-12,Línea 2,774082,33655.739130434784
2016-01-28,Línea 12,314552,15727.6
2013-03-20,Línea 2,906441,39410.47826086957
2013-03-20,Línea 1,668804,37155.77777777778
2013-03-07,Línea 5,279385,21491.153846153848
2019-12-15,Línea 1,497014,26158.63157894737
2019-12-10,Línea 9,263428,21952.333333333332
2014-01-03,Línea 5,218742,16826.30769230769
2019-03-13,Línea 2,801962,33415.083333333336
2019-12-17,Línea A,241734,24173.4
2013-12-14,Línea 5,170561,13120.076923076924
2018-01-24,Línea A,301753,30175.3
2018-01-18,Línea 2,848476,35353.166666666664
2020-01-24,Línea 3,733530,34930.0
2020-01-07,Línea A,218978,24330.88888888889
2016-07-07,Línea 7,325532,23252.285714285714
2016-07-05,Línea 4,84771,8477.1
2019-07-29,Línea 8,351504,18500.21052631579
2019-07-19,Línea 5,219904,16915.69230769231
2019-07-16,Línea 8,381167,21175.944444444445
2015-12-13,Línea 4,76241,6931.0
2015-12-01,Línea 4,101245,11249.444444444445
2015-12-26,Línea A,187869,18786.9
2018-03-13,Línea 8,423472,22288.0
2018-03-09,Línea 5,279716,21516.615384615383
2018-03-09,Línea 3,763285,38164.25
2017-01-06,Línea 2,704059,29335.791666666668
2017-01-10,Línea B,398015,19900.75
2017-01-11,Línea 6,137631,13763.1
2017-07-21,Línea A,254925,28325.0
2016-01-14,Línea 8,392079,20635.736842105263
2016-01-27,Línea B,431486,22709.78947368421
2016-01-22,Línea 9,371212,30934.333333333332
2016-01-31,Línea A,156123,15612.3
2013-03-22,Línea 2,961384,40057.666666666664
2013-03-23,Línea 3,509101,26794.78947368421
2013-03-19,Línea 5,245463,18881.76923076923
2018-05-28,Línea B,455117,21672.238095238095
2018-05-10,Línea 7,324111,23150.785714285714
2014-01-02,Línea 1,710812,35540.6
2014-01-20,Línea 9,347087,28923.916666666668
2019-03-14,Línea 5,256222,19709.384615384617
2019-03-17,Línea 7,110979,9248.25
2017-05-22,Línea 5,244741,20395.083333333332
2017-05-09,Línea 7,335934,23995.285714285714
2017-05-21,Línea 8,213531,11862.833333333334
2013-12-07,Línea 5,213997,16461.30769230769
2018-01-26,Línea 8,409738,21565.157894736843
2018-01-17,Línea B,446308,21252.761904761905
2018-01-22,Línea 9,336478,28039.833333333332
2012-12-09,Línea 6,93305,8482.272727272728
2012-12-17,Línea A,263877,26387.7
2019-07-05,Línea 5,244604,18815.69230769231
2019-07-16,Línea 3,605300,28823.809523809523
2015-12-01,Línea 1,826521,41326.05
2018-03-28,Línea 2,750343,31264.291666666668
2018-03-24,Línea 4,81007,8100.7
2017-01-26,Línea 9,384836,32069.666666666668
2017-07-27,Línea B,364401,18220.05
2017-07-13,Línea 9,356691,29724.25
2016-01-22,Línea 5,256050,19696.153846153848
2013-03-09,Línea 12,199745,9987.25
2018-05-30,Línea 7,343913,26454.846153846152
2019-12-24,Línea 6,96021,8729.181818181818
2019-12-07,Línea 12,407967,20398.35
2014-01-22,Línea A,287766,28776.6
2014-01-23,Línea 7,320351,22882.214285714286
2019-03-11,Línea A,121724,12172.4
2017-05-31,Línea 8,392775,20672.36842105263
2017-05-31,Línea 2,854873,35619.708333333336
2013-12-28,Línea 2,600769,26120.391304347828
2012-12-31,Línea 9,172785,15707.727272727272
2016-07-22,Línea 4,81799,8179.9
2016-07-02,Línea 6,105824,9620.363636363636
2016-07-18,Línea 2,725929,30247.041666666668
2019-07-19,Línea 2,758007,32956.82608695652
2015-12-09,Línea 6,173877,15807.0
2018-03-11,Línea A,169314,16931.4
2017-01-29,Línea 6,66236,6623.6
2017-01-27,Línea 9,346185,28848.75
2017-01-29,Línea 4,51003,5100.3
2017-07-02,Línea 9,166177,13848.083333333334
2017-07-22,Línea 1,601232,31643.78947368421
2016-01-04,Línea 8,371597,20644.277777777777
2016-01-27,Línea 7,339138,24224.14285714286
2013-03-17,Línea 5,130651,10050.076923076924
2013-03-04,Línea 5,258307,19869.76923076923
2018-05-06,Línea B,274724,13082.095238095239
2019-12-08,Línea 3,643354,33860.73684210526
2019-12-26,Línea 12,325734,16286.7
2019-12-14,Línea B,411151,20557.55
2014-01-30,Línea 12,311341,15567.05
2019-03-13,Línea 7,360559,25754.214285714286
2017-07-04,Línea B,412693,20634.65
2017-05-09,Línea 2,861072,35878.0
2017-05-12,Línea 12,383763,19188.15
2017-05-26,Línea 4,88086,9787.333333333334
2013-12-14,Línea 1,655485,34499.21052631579
2013-12-19,Línea 1,828074,41403.7
2013-12-30,Línea 3,509320,24253.333333333332
2018-01-15,Línea 7,307338,21952.714285714286
2018-01-02,Línea 3,465466,22165.04761904762
2020-01-06,Línea B,404082,19242.0
2012-12-09,Línea 4,60706,6070.6
2016-07-20,Línea 6,118079,10734.454545454546
2016-07-19,Línea 9,349116,29093.0
2019-07-24,Línea 7,346698,26669.076923076922
2015-12-14,Línea 5,249720,19209.23076923077
2015-12-19,Línea 7,215477,16575.153846153848
2015-12-05,Línea 8,379323,21073.5
2018-03-15,Línea B,476956,22712.190476190477
2017-01-09,Línea B,433548,20645.14285714286
2017-01-24,Línea B,399499,19974.95
2017-01-06,Línea 6,116418,10583.454545454546
2017-01-18,Línea 9,369211,30767.583333333332
2016-01-19,Línea B,443113,21100.619047619046
2016-01-01,Línea 1,272182,13609.1
2016-01-11,Línea 12,272515,14342.894736842105
2016-01-07,Línea A,291755,29175.5
2013-03-11,Línea 1,757109,39847.84210526316
2013-03-04,Línea 7,274679,21129.153846153848
2013-03-31,Línea 5,118566,9880.5
2013-03-28,Línea 5,171437,13187.461538461539
2018-05-08,Línea 12,403944,20197.2
2018-05-30,Línea 12,403152,20157.6
2018-05-15,Línea 6,133197,13319.7
2019-12-05,Línea 12,177565,8878.25
2019-12-06,Línea 7,393779,26251.933333333334
2019-12-14,Línea 1,649053,34160.68421052631
2014-01-10,Línea 3,706757,35337.85
2019-03-30,Línea 12,306826,15341.3
2019-03-18,Línea 4,50364,5036.4
2017-05-18,Línea 1,713309,37542.57894736842
2017-05-26,Línea 7,328952,25304.0
2017-05-06,Línea 7,227095,16221.07142857143
2017-05-01,Línea 1,366753,20375.166666666668
2013-12-30,Línea 4,81131,8113.1
2018-01-06,Línea A,221399,22139.9
2018-01-05,Línea 4,92012,9201.2
2018-01-08,Línea 5,239739,18441.46153846154
2020-01-19,Línea 2,347216,15096.347826086956
2020-01-02,Línea B,373811,17800.52380952381
2020-01-30,Línea B,446560,21264.761904761905
2019-07-27,Línea 2,658924,27455.166666666668
2015-12-18,Línea 9,381849,31820.75
2015-12-26,Línea 12,137913,7258.578947368421
2018-03-22,Línea A,317658,31765.8
2017-07-13,Línea 5,241245,18557.30769230769
2017-07-08,Línea 6,106548,9686.181818181818
2017-07-27,Línea 12,340798,17936.736842105263
2016-01-13,Línea B,423393,20161.571428571428
2016-01-03,Línea 7,102490,7320.714285714285
2016-01-26,Línea 5,254624,19586.46153846154
2016-01-22,Línea 6,157654,14332.181818181818
2013-03-07,Línea 2,907462,39454.86956521739
2018-05-09,Línea 3,698055,34902.75
2018-05-22,Línea 2,812838,33868.25
2019-12-24,Línea 1,488662,25719.052631578947
2019-12-20,Línea 1,690988,36367.78947368421
2019-12-05,Línea B,263494,13174.7
2014-01-15,Línea 9,321230,29202.727272727272
2014-01-03,Línea 1,744356,37217.8
2014-01-15,Línea 8,382812,20148.0
2019-03-19,Línea 5,240760,18520.0
2019-03-29,Línea 2,874816,36450.666666666664
2019-03-21,Línea 3,705921,35296.05
2017-05-21,Línea 12,161115,8055.75
2017-05-22,Línea 3,711952,33902.47619047619
2017-05-30,Línea 2,827537,34480.708333333336
2017-05-05,Línea 6,135141,12285.545454545454
2013-12-02,Línea 12,337062,16853.1
2018-01-24,Línea 3,722299,36114.95
2018-01-11,Línea B,449616,21410.285714285714
2018-01-09,Línea 1,709741,33797.19047619047
2018-01-28,Línea 5,134649,10357.615384615385
2018-01-28,Línea 11,2054,2054.0
2020-01-06,Línea 6,123264,11205.818181818182
2012-12-04,Línea 7,323068,23076.285714285714
2016-07-02,Línea 12,216709,10835.45
2019-07-24,Línea 1,603462,31761.157894736843
2015-12-19,Línea 3,563644,28182.2
2015-12-21,Línea 6,129600,11781.818181818182
2017-01-12,Línea 9,378974,31581.166666666668
2017-01-08,Línea 8,198600,10452.631578947368
2017-01-29,Línea 8,224828,11833.052631578947
2017-07-05,Línea 3,646193,30771.095238095237
2017-07-17,Línea 4,83784,8378.4
2016-01-10,Línea 9,169844,14153.666666666666
2013-03-10,Línea 7,112756,8673.538461538461
2013-03-18,Línea 3,314879,15743.95
2013-03-13,Línea B,508090,24194.761904761905
2013-03-06,Línea 2,805039,35001.69565217391
2013-03-12,Línea 7,308007,22000.5
2013-03-14,Línea 6,159942,14540.181818181818
2013-03-07,Línea 6,155374,15537.4
2013-03-10,Línea 6,70119,6374.454545454545
2018-05-05,Línea 12,278187,14641.421052631578
2018-05-04,Línea 8,432917,22785.105263157893
2018-05-02,Línea 12,386898,20363.052631578947
2018-05-15,Línea B,387408,19370.4
2018-05-11,Línea 6,145628,13238.90909090909
2014-01-31,Línea 8,424835,22359.736842105263
2014-01-07,Línea 3,682570,32503.333333333332
2014-01-15,Línea A,274750,27475.0
2019-03-09,Línea B,460417,21924.619047619046
2019-03-03,Línea 9,154665,12888.75
2017-05-08,Línea 11,5639,5639.0
2020-01-17,Línea B,451188,21485.14285714286
2020-01-13,Línea A,244380,24438.0
2020-01-09,Línea 8,375626,19769.78947368421
2012-12-25,Línea 9,101107,8425.583333333334
2012-12-24,Línea 2,583825,23353.0
2016-07-25,Línea 2,745453,31060.541666666668
2016-07-09,Línea 5,217878,16759.846153846152
2016-07-29,Línea 7,334227,23873.35714285714
2019-07-28,Línea 5,138567,10659.0
2019-07-12,Línea 7,229947,16424.785714285714
2015-12-10,Línea 2,905130,37713.75
2015-12-20,Línea B,373072,18653.6
2015-12-21,Línea 9,323838,26986.5
2015-12-15,Línea 12,301222,15061.1
2018-03-25,Línea 9,160048,14549.818181818182
2017-07-26,Línea 4,85212,8521.2
2017-07-31,Línea 8,359941,18944.263157894737
2017-07-19,Línea 4,80442,8938.0
2016-01-01,Línea A,115748,11574.8
2016-01-07,Línea 5,243577,18736.69230769231
2013-03-30,Línea 8,226809,11937.315789473685
2013-03-07,Línea 12,245869,12940.473684210527
2018-05-18,Línea 12,417567,20878.35
2018-05-21,Línea 6,164492,14953.818181818182
2018-05-05,Línea 9,298170,24847.5
2018-05-31,Línea 2,845223,35217.625
2018-05-06,Línea 4,46157,5769.625
2019-12-09,Línea 5,225191,18765.916666666668
2019-03-20,Línea 8,383329,21296.055555555555
2019-03-18,Línea 1,434201,21710.05
2019-03-11,Línea B,261542,12454.380952380952
