linea,estacion,afluencia_total,ranking_global
LÁÑNEA 2,Tasqueáa,44256876,154
LINEA 12,Culhuacáén,42843870,155
LINEA 5,Oceanáña,42147128,156
LÁÑNEA 5,Pantitláén,41798628,157
LÁÑNEA 2,Cuatro Caminos,41483868,158
LINEA 4,Canal Del Norte,41290883,159
LINEA 12,Calle 11,39878578,160
LINEA 12,Hospital 20 De Noviembre,39873089,161
LINEA 5,Misterios,39564231,162
LINEA 4,Fray Servando,39470340,163
LINEA 7,Tacuba,38653322,164
LINEA 6,Uam-azcapotzalco,38279686,165
LINEA 4,Candelaria,37852571,166
LINEA 4,Morelos,37439232,167
LINEA B,Garibaldi/lagunilla,37403853,168
LINEA 9,Ciudad Deportiva,36941420,169
LINEA 12,Parque De Los Venados,36349729,170
LÁÑNEA 9,Pantitláén,36324279,171
LÁÑNEA B,Buenavista,36001891,172
LINEA 12,Zapotitláén,35725337,173
LINEA 4,Jamaica,35652461,174
LINEA 5,Aragáén,35429231,175
LINEA 12,Eje Central,35076752,176
LINEA 6,Vallejo,34576743,177
LINEA 5,Eduardo Molina,34390099,178
LINEA 8,La Viga,34349584,179
LÁÑNEA 9,Tacubaya,34343071,180
LÁÑNEA 3,Universidad,33901742,181
LINEA 12,Ermita,33625060,182
LINEA 6,Norte 45,32602641,183
LINEA 7,Tacubaya,31748884,184
LINEA 8,Santa Anita,31333820,185
LINEA 12,San Andráós Tomatláén,31031316,186
LÁÑNEA 1,Observatorio,30826806,187
LINEA B,Bosque De Aragáén,30696642,188
LINEA 4,Bondojito,30692877,189
LINEA 12,Lomas Estrella,30607959,190
LÁÑNEA B,Ciudad Azteca,30447348,191
LINEA B,Ricardo Flores Magáén,30227127,192
LÁÑNEA A,La Paz,29413283,193
LINEA 5,Instituto Del Petráéleo,28166601,194
LINEA B,Guerrero,27879569,195
LINEA 6,Tezozáémoc,27337521,196
LÁÑNEA 9,Chilpancingo,27324655,197
LÁÑNEA 2,Záécalo/tenochtitlan,27289405,198
LINEA 4,Talismáén,26186535,199
LÁÑNEA A,Pantitláén,26139351,200
LÁÑNEA A,Santa Marta,24811579,201
LINEA B,Morelos,24508422,202
LÁÑNEA 1,Chapultepec,24501530,203
LINEA 5,Consulado,24275697,204
LÁÑNEA 9,Puebla,24259423,205
