nombre_dia,tipo_dia,afluencia_promedio
Miércoles,Laborable,22928.9094600584
Sábado,Fin de semana,19167.841957332188
Domingo,Fin de semana,12552.164123305784
Jueves,Laborable,22817.220424328883
Martes,Laborable,22661.42530073477
Viernes,Laborable,23233.33891657018
Lunes,Laborable,21949.04178379926
