año,mes,linea,afluencia_total,afluencia_promedio_diaria
2020,3,Línea 8,9302829,16039.360344827586
2016,11,Línea 9,9584436,27151.376770538245
2018,7,Línea 8,10545928,18372.696864111498
2017,10,Línea 11,85661,42830.5
2017,11,Línea 3,19278752,31296.675324675325
2016,4,Línea 9,9832735,27854.773371104817
2026,3,Línea 1,13680986,22650.639072847684
2017,11,Línea 1,20712626,35046.74450084603
2018,12,Línea A,8354886,27573.881188118812
2025,10,Línea 3,15293866,23934.062597809076
2016,4,Línea 8,11345261,20259.394642857143
2025,10,Línea 6,3550951,10599.853731343284
2013,4,Línea 9,10626340,30017.909604519773
2017,10,Línea 12,8926989,18034.321212121213
2026,3,Línea 9,7230143,19972.770718232045
2025,10,Línea 12,10759891,17668.12972085386
2016,3,Línea 4,2173644,7318.666666666667
2025,12,Línea 7,6775485,16093.788598574822
2017,10,Línea 1,21290792,34788.875816993466
2018,7,Línea 1,20062325,32781.57679738562
2013,4,Línea 1,21377661,36418.50255536627
2017,6,Línea 9,9535552,27089.636363636364
2016,4,Línea 1,21888858,36974.4222972973
2020,3,Línea 7,6759307,15904.251764705883
2017,11,Línea 12,9983967,17066.610256410255
2017,6,Línea 3,18821202,30405.819063004845
2013,11,Línea 3,20841715,33615.66935483871
2018,7,Línea 6,4020645,11790.74780058651
2025,12,Línea 12,9650262,15924.524752475247
2017,11,Línea 7,9057207,21877.3115942029
2016,11,Línea B,12837984,20773.436893203885
2019,1,Línea 4,2410931,7983.215231788079
2013,4,Línea 2,25164222,35343.00842696629
2017,6,Línea B,12507959,20141.640901771338
2016,4,Línea 4,2621103,8795.647651006711
2026,1,Línea 3,13263549,20789.26175548589
2026,3,Línea 11,60640,30320.0
2017,11,Línea 5,7128312,18563.3125
2017,10,Línea A,8627223,28010.464285714286
2018,12,Línea 8,10649968,18362.013793103448
2026,3,Línea 4,2057380,6723.464052287582
2013,9,Línea 6,4198882,13080.629283489097
2013,6,Línea 4,2301135,7826.989795918367
2020,12,Línea B,7252723,11297.07632398754
2018,11,Línea 1,19695897,33553.48722316865
2018,4,Línea 7,8640130,20869.87922705314
2016,9,Línea A,8531354,29622.756944444445
2018,11,Línea 11,47383,15794.333333333334
2016,6,Línea 5,6849201,17836.4609375
2014,3,Línea 6,3971495,11855.208955223881
2013,9,Línea 4,2527226,8625.34470989761
2025,5,Línea 9,7720639,21566.030726256984
2025,8,Línea 7,7283208,16898.394431554523
2020,12,Línea 7,3914115,9081.47331786543
2018,4,Línea 6,4160933,12922.152173913044
2013,6,Línea 6,3733792,11559.727554179566
2016,6,Línea 9,9887370,28089.11931818182
2014,3,Línea 1,21279237,35056.403624382205
2013,6,Línea 8,10623039,18868.63055062167
2025,8,Línea 8,9569659,16442.713058419245
2025,5,Línea 2,17244086,24356.053672316386
2018,6,Línea 2,21935640,30895.267605633802
2013,9,Línea 1,22653216,38395.2813559322
2018,11,Línea 12,10491594,17752.274111675128
2018,6,Línea 6,4078335,12626.424148606811
2018,11,Línea B,12541195,20492.148692810457
2018,4,Línea 5,7411713,19251.202597402596
2025,7,Línea 4,1988591,6519.9704918032785
2019,9,Línea 2,21926163,30708.91176470588
2021,3,Línea 5,3400790,8653.409669211196
2025,7,Línea 3,13683635,21280.92534992224
2018,11,Línea 6,4340460,13314.294478527607
2014,3,Línea 9,10007121,27416.7698630137
2018,6,Línea 4,2430885,8212.449324324325
2025,5,Línea 1,10012872,19255.523076923077
2016,6,Línea 3,19427882,31538.76948051948
2018,6,Línea A,7570772,26196.442906574393
2018,11,Línea 7,9183327,22181.94927536232
2013,6,Línea 7,8038265,19276.414868105516
2018,6,Línea 11,47503,23751.5
2025,5,Línea 12,9622017,15904.160330578512
2016,6,Línea 2,23109548,32594.566995768688
2025,5,Línea 6,3225120,9627.223880597016
2013,9,Línea 3,20507127,33129.445880452346
2019,9,Línea 4,2368272,7973.979797979798
2020,10,Línea 3,10092185,15868.215408805032
2017,4,Línea B,11912902,19183.417069243154
2025,7,Línea A,6057477,19925.911184210527
2025,8,Línea 5,4463972,11301.19493670886
2025,8,Línea 4,2064661,6638.781350482315
2025,8,Línea 9,7810423,21281.806539509536
2018,9,Línea 7,8778368,21255.128329297822
2018,9,Línea 1,19979290,33578.638655462186
2020,12,Línea 3,8875824,14044.025316455696
2016,9,Línea 7,8845837,21418.491525423728
2016,9,Línea 8,11394441,20347.21607142857
2025,5,Línea 8,9467853,16581.17863397548
2025,7,Línea 6,2972978,8927.861861861862
2014,3,Línea 3,20378077,31741.552959501558
2025,8,Línea B,9921627,15649.253943217665
2016,9,Línea 9,9503426,26845.83615819209
2021,3,Línea 7,3949327,9163.1716937355
2014,3,Línea 11,56212,18737.333333333332
2020,10,Línea A,4486326,14661.196078431372
2018,6,Línea 9,9048333,25926.45558739255
2018,11,Línea 3,17998599,29409.475490196077
2020,12,Línea 6,1817709,5475.027108433735
2020,10,Línea 8,6218556,10796.104166666666
2017,4,Línea 9,8577577,24162.188732394367
2014,3,Línea 2,24712994,33577.4375
2020,12,Línea 8,5821029,10053.590673575129
2018,9,Línea 9,9269116,25891.385474860333
2025,5,Línea A,6269677,20422.4006514658
2020,12,Línea 11,6562,3281.0
2014,3,Línea 12,5392997,13722.638676844783
2018,4,Línea 1,19261340,32426.498316498317
2013,9,Línea B,13665723,22256.877850162866
2025,8,Línea 2,17780527,24524.864827586207
2014,3,Línea 7,8282668,19306.918414918415
2020,12,Línea A,4400044,14618.086378737542
2025,5,Línea 5,4724175,11929.734848484848
2025,7,Línea 1,10796790,20683.505747126437
2018,4,Línea 11,39494,19747.0
2020,12,Línea 4,1310410,4324.785478547855
2020,12,Línea 12,5806554,9534.57142857143
2016,9,Línea 3,19553067,31845.385993485343
2013,6,Línea 2,23841580,33817.843971631206
2019,9,Línea 3,18004698,29181.0340356564
2020,10,Línea 1,12234174,19957.869494290375
2021,3,Línea 1,9965022,16256.15334420881
2020,10,Línea 12,6411248,10527.500821018062
2017,4,Línea 12,8875059,14966.372681281618
2017,4,Línea 11,8377,8377.0
2025,8,Línea 1,11133396,21410.376923076925
2018,9,Línea 2,22252303,31341.271830985916
2016,9,Línea 1,20672819,35338.152136752135
2013,9,Línea 2,23082951,33550.80087209302
2017,4,Línea 1,18667723,31965.279109589042
2013,9,Línea 7,8092805,19453.858173076922
2018,6,Línea 7,8825961,21318.746376811596
2020,12,Línea 2,9728552,13937.753581661891
2017,4,Línea 4,2273688,7786.602739726028
2018,9,Línea A,8480460,28553.737373737375
2016,6,Línea 7,8934704,21529.40722891566
2017,4,Línea 2,20818806,29572.167613636364
2020,12,Línea 9,4331004,12030.566666666668
2020,12,Línea 1,11255686,18512.64144736842
2018,4,Línea B,12336710,20027.126623376622
2018,11,Línea 2,21940198,30901.68732394366
2017,4,Línea 7,7735652,18775.85436893204
2013,6,Línea B,13319854,21380.182985553773
2021,3,Línea 12,5964235,9841.97194719472
2021,3,Línea 6,1711465,5124.146706586826
2019,9,Línea A,6516326,22470.089655172414
2018,6,Línea 1,19756607,33485.774576271186
2018,11,Línea 4,2684700,9009.060402684563
2016,6,Línea 6,4025319,12347.604294478528
2020,10,Línea 7,4339706,10115.864801864802
2025,8,Línea A,6423253,21627.11447811448
2020,10,Línea 4,1274435,4137.775974025974
2019,9,Línea 8,10476433,18808.67684021544
2017,4,Línea 8,10349853,18318.32389380531
2025,7,Línea 8,9517772,16552.646956521738
2013,6,Línea 1,21646697,37129.84048027444
2021,3,Línea 4,1132389,3724.9638157894738
2014,3,Línea 5,7279172,18335.445843828715
2016,9,Línea 5,6938889,18308.41424802111
2016,6,Línea 11,51124,17041.333333333332
2025,7,Línea 2,17691543,24368.51652892562
2014,3,Línea A,7672357,24991.390879478826
2020,10,Línea 9,4927332,13499.539726027397
2013,6,Línea 9,9668386,27158.387640449437
2018,6,Línea B,12357328,19771.7248
2021,3,Línea 3,8014090,12680.522151898735
2014,3,Línea 4,2538233,8241.016233766233
2025,8,Línea 6,3053196,9033.124260355029
2016,9,Línea 2,22249013,31514.18271954674
2018,11,Línea 9,9179906,26079.278409090908
2025,7,Línea 9,7670427,21072.601648351647
2018,9,Línea 12,10615424,18022.791171477078
2016,6,Línea 1,21730025,36768.231810490695
2019,9,Línea B,12227746,19850.237012987014
2013,6,Línea A,7014449,24022.085616438355
2018,4,Línea 3,19115381,30831.259677419355
2018,6,Línea 5,6955250,18255.24934383202
2025,5,Línea 3,14495921,22685.322378716744
2016,9,Línea B,12699188,20615.564935064936
2018,9,Línea 5,7232565,18883.981723237597
2025,5,Línea 7,7242564,16726.475750577367
2017,4,Línea 3,17697364,28682.923824959482
2018,9,Línea 6,4200072,13003.318885448916
2018,4,Línea 12,10261294,17421.551782682513
2018,9,Línea B,12636640,20447.637540453074
2018,9,Línea 3,18189908,29673.585644371942
2016,9,Línea 6,4244159,13018.89263803681
2013,6,Línea 5,6562675,17045.909090909092
2017,4,Línea 5,6638194,17197.39378238342
2025,8,Línea 11,2140,2140.0
2020,10,Línea 6,1931073,5834.057401812689
2013,9,Línea 11,24118,24118.0
2018,9,Línea 4,2475186,8419.0
2016,9,Línea 11,18445,18445.0
2018,4,Línea 9,9301347,26127.379213483146
2018,4,Línea 2,22897487,32478.704964539007
2021,3,Línea 2,8964405,12381.774861878454
2025,7,Línea 12,9590711,15800.182866556837
2019,9,Línea 1,18809281,32043.06814310051
2016,9,Línea 12,9032265,15360.994897959185
2016,6,Línea 12,8530504,14632.082332761578
2019,9,Línea 6,4072673,12492.861963190184
2025,7,Línea B,9719313,15210.19248826291
2018,6,Línea 12,10425896,17611.31081081081
2019,9,Línea 12,10896678,18658.695205479453
2017,4,Línea A,7939186,27282.426116838487
2025,7,Línea 5,4416701,11125.191435768262
2025,7,Línea 7,7188119,16794.670560747665
2018,9,Línea 8,10624664,19074.800718132854
2013,9,Línea A,7152454,24578.87972508591
2021,3,Línea 9,4353411,12618.582608695651
2021,3,Línea 11,44342,44342.0
2013,6,Línea 12,7342140,12402.263513513513
2018,11,Línea 5,7326963,18932.720930232557
2018,11,Línea A,9131547,31059.683673469386
2021,3,Línea A,4382496,14416.105263157895
2020,10,Línea 2,10658360,15357.867435158501
2025,5,Línea 4,2033176,6622.723127035831
2019,9,Línea 5,6265589,16575.632275132277
2014,3,Línea B,13363463,20815.36292834891
2018,4,Línea 4,2444265,8399.536082474227
2013,9,Línea 5,7198851,18845.159685863873
2016,6,Línea B,12630398,20537.232520325204
2013,9,Línea 12,8088084,13802.191126279864
2016,9,Línea 4,2493879,8425.266891891892
2020,10,Línea B,7331846,11456.009375
2025,5,Línea 11,45160,11290.0
2021,3,Línea 8,5792857,10039.613518197573
2018,9,Línea 11,18220,18220.0
2025,8,Línea 12,9620342,15954.132669983417
2019,9,Línea 11,17757,17757.0
2016,6,Línea A,8436662,28892.678082191782
2016,6,Línea 4,2478289,8372.597972972973
2019,9,Línea 7,8705661,21130.245145631066
2013,6,Línea 3,19272844,31236.376012965964
2020,12,Línea 5,3549970,8919.522613065326
2020,10,Línea 5,3554076,9113.015384615384
2016,6,Línea 8,11011828,19628.926916221033
2013,6,Línea 11,17568,17568.0
2025,8,Línea 3,14567467,22977.077287066248
2018,6,Línea 3,18073539,29197.962843295638
2018,4,Línea A,8152607,27729.955782312925
2025,5,Línea B,10127518,15873.852664576803
2018,11,Línea 8,11115844,19956.631956912028
2014,3,Línea 8,10607123,18319.72884283247
2013,9,Línea 9,9971844,28248.84985835694
2019,9,Línea 9,8013112,22635.909604519773
2013,9,Línea 8,10766532,19225.95
2017,4,Línea 6,3743428,11518.24
2018,6,Línea 8,10915137,19596.296229802512
2021,3,Línea B,6438119,10075.303599374021
2018,4,Línea 8,11030014,19767.05017921147
2019,6,Línea 9,8006625,22681.657223796035
2025,11,Línea 6,3579968,10981.496932515338
2020,7,Línea 4,1040457,3334.798076923077
2015,3,Línea 4,2661988,8614.84789644013
2020,7,Línea 8,5124968,8882.093587521664
2019,6,Línea 7,8853262,21281.87980769231
2012,11,Línea 5,6721856,17689.094736842104
2014,12,Línea 4,2615045,8545.898692810457
2024,10,Línea 5,5223925,13125.439698492462
2024,12,Línea 4,2175447,7109.303921568628
2025,1,Línea 12,8733872,14388.586490939044
2014,5,Línea 5,7064765,17750.665829145728
2014,10,Línea 8,11709296,20470.797202797203
2020,8,Línea 7,3764647,8775.400932400933
2015,5,Línea 11,8159,8159.0
2020,8,Línea 8,5637677,9736.92055267703
2025,3,Línea 12,9788064,16151.920792079209
2024,12,Línea 11,49290,16430.0
2012,11,Línea 6,4777060,14608.74617737003
2025,11,Línea 7,8198274,19802.594202898552
2014,8,Línea 9,9816620,26894.84931506849
2014,10,Línea 1,22901849,38106.23793677205
2024,12,Línea 3,13117696,20657.788976377953
2014,5,Línea 7,8147382,18947.4
2012,11,Línea 9,10057773,28573.21875
2024,12,Línea 1,7190797,17976.9925
2014,12,Línea 7,7730409,18362.016627078385
2025,1,Línea 2,16913291,23328.67724137931
2019,6,Línea 8,10926538,19442.2384341637
2014,12,Línea 12,3660129,13456.35661764706
2012,11,Línea 2,25096233,35648.05823863636
2024,10,Línea 3,15833853,24701.79875195008
2015,10,Línea 3,20627284,32331.166144200626
2014,8,Línea 2,24996679,33916.796472184535
2019,6,Línea 6,3880285,12202.154088050314
2019,6,Línea 11,23373,23373.0
2024,12,Línea 6,3036036,9117.225225225226
2024,12,Línea B,10396995,16321.813186813188
2014,5,Línea A,7937133,25938.343137254902
2024,10,Línea 12,9998816,16499.696369636964
2012,11,Línea 12,5201991,10220.021611001965
2019,6,Línea 4,2296531,7758.550675675676
2019,6,Línea A,6336390,21406.722972972973
2020,7,Línea 3,7756280,12119.1875
2015,10,Línea 5,7591134,19073.201005025127
2015,3,Línea 9,10061150,27564.794520547945
2025,1,Línea B,9720016,15211.292644757434
2025,1,Línea 8,9290479,15963.02233676976
2024,10,Línea B,11119431,17483.382075471698
2024,10,Línea 9,8110255,22280.92032967033
2025,1,Línea 6,3000739,9011.228228228229
2012,11,Línea 3,20113340,32598.606158833063
2025,11,Línea 1,14004915,25325.343580470162
2015,3,Línea 7,8238801,19431.134433962263
2015,5,Línea 12,3834958,13996.197080291971
2015,5,Línea 3,19567897,30432.188180404355
2025,1,Línea 9,7258181,20050.223756906078
2025,3,Línea 3,15232000,23837.245696400627
2014,5,Línea 11,15455,15455.0
2019,6,Línea 5,6246519,16182.69170984456
2024,10,Línea 7,7867626,18296.80465116279
2024,10,Línea 4,2351353,7560.6205787781355
2015,10,Línea 6,4942620,14754.089552238805
2020,8,Línea 6,1712827,5082.572700296736
2015,10,Línea 8,12131549,20916.46379310345
2015,10,Línea 7,9302070,21835.845070422536
2014,12,Línea A,7916624,25956.14426229508
2019,4,Línea 3,16405652,26632.551948051947
2025,11,Línea 12,11070030,18955.530821917808
2015,3,Línea 5,7037072,17906.03562340967
2012,11,Línea B,13804716,22373.931928687198
2014,12,Línea 1,22194945,36746.59768211921
2024,10,Línea A,6741398,22248.838283828383
2015,10,Línea 9,10265909,28203.046703296703
2014,8,Línea B,13872720,21710.04694835681
2014,8,Línea 5,7443339,18654.984962406015
2014,5,Línea 9,9801719,26927.79945054945
2024,10,Línea 1,6685014,16967.040609137057
2015,5,Línea 6,4226646,12654.62874251497
2024,10,Línea 6,3484438,10401.307462686567
2014,5,Línea 6,3987439,11867.377976190477
2020,7,Línea 2,8479102,12095.723252496433
2014,8,Línea 7,8132781,19181.087264150945
2025,11,Línea 5,5249339,13670.153645833334
2019,4,Línea 1,18156740,30826.383701188453
2019,6,Línea 2,21829827,30833.088983050846
2019,4,Línea 12,9987457,17043.441979522184
2025,11,Línea 9,8348261,23582.658192090395
2014,8,Línea 8,11540496,19931.772020725388
2014,5,Línea 3,19680753,30896.001569858712
2019,6,Línea 3,17925178,28865.020933977456
2025,11,Línea 8,10992628,19700.05017921147
2025,3,Línea 9,7948579,21836.755494505494
2012,11,Línea 8,11034734,19740.13237924866
2014,12,Línea 11,16407,16407.0
2015,5,Línea 1,21919451,35816.09640522876
2015,5,Línea 4,2538035,8321.426229508197
2014,8,Línea 3,20201214,31663.344827586207
2014,10,Línea 9,10386922,28535.5
2019,4,Línea A,5935703,19985.531986531987
2014,12,Línea 8,11674297,20093.454388984508
2014,5,Línea 8,10972411,18788.375
2020,7,Línea 11,10948,10948.0
2014,5,Línea 2,24222803,33001.09400544959
2015,5,Línea A,8389781,27417.58496732026
2015,10,Línea 2,25053875,34179.911323328786
2015,10,Línea 4,2830449,9219.70358306189
2020,8,Línea 9,4294792,11766.553424657533
2014,10,Línea 12,4301075,15583.605072463768
2025,11,Línea B,11705570,19064.44625407166
2015,5,Línea 8,11314544,19746.150087260034
2025,3,Línea 1,6890819,17313.615577889446
2015,3,Línea 2,23597822,32503.887052341597
2025,1,Línea 7,6885148,16200.348235294117
2012,11,Línea 1,21436673,36271.866328257194
2020,7,Línea 7,3391557,7942.75644028103
2015,5,Línea 9,9867774,26961.131147540982
2019,6,Línea B,12025689,19617.763458401307
2014,5,Línea 1,21488567,35169.50409165303
2025,1,Línea A,6005645,19626.2908496732
2015,3,Línea 1,22428758,36469.52520325203
2014,12,Línea 6,3703856,10958.153846153846
2014,5,Línea 4,2533744,8362.191419141915
2014,10,Línea A,8955908,29077.623376623378
2015,3,Línea B,12891392,20237.66405023548
2015,10,Línea A,8617480,28254.032786885247
2015,3,Línea 8,11535301,19991.856152513
2020,8,Línea 3,8863258,13741.48527131783
2014,8,Línea A,8371518,27447.6
2020,8,Línea 4,1142247,3720.674267100977
2015,5,Línea B,13154989,20716.518110236222
2020,8,Línea B,6525964,10117.773643410852
2025,11,Línea 3,15900381,25728.771844660194
2014,12,Línea 2,23962480,32690.968622100954
2020,8,Línea 12,5589526,9103.462540716613
2020,7,Línea A,3574463,11914.876666666667
2024,10,Línea 8,10522219,18363.38394415358
2024,12,Línea 12,8723011,14418.2
2024,12,Línea 2,18634279,25421.93587994543
2014,10,Línea 7,8883487,20804.41920374707
2020,8,Línea 2,9588639,13698.055714285714
2012,11,Línea A,7282744,24438.738255033557
2012,11,Línea 4,2430660,8211.68918918919
2020,8,Línea 5,3207766,8080.015113350126
2020,7,Línea 9,3914744,10754.791208791208
2014,12,Línea 5,6910109,17189.325870646768
2019,6,Línea 1,18495595,31562.44880546075
2014,8,Línea 6,4199188,12497.583333333334
2024,12,Línea 9,7270970,19811.907356948228
2014,10,Línea 2,25056110,34229.65846994535
2014,5,Línea B,13463868,21169.603773584906
2025,11,Línea 2,19571541,27840.02987197724
2015,3,Línea 3,20276432,31731.505477308296
2019,4,Línea 11,62420,15605.0
2024,12,Línea 8,9625297,16681.62391681109
2014,5,Línea 12,4063317,14775.698181818181
2012,11,Línea 7,7662916,18509.45893719807
2014,12,Línea 3,17998615,28166.84663536776
2020,8,Línea A,3866004,12717.118421052632
2015,3,Línea 12,3955561,14383.858181818181
2025,3,Línea B,10647455,16636.6484375
2024,12,Línea 5,4600027,11586.969773299748
2014,10,Línea B,13697349,21570.62834645669
2015,10,Línea B,13888802,21975.95253164557
2025,3,Línea A,6217470,20587.649006622516
2025,1,Línea 5,4442386,11275.091370558375
2014,8,Línea 11,56182,56182.0
2015,3,Línea 6,4344094,12852.349112426036
2025,3,Línea 4,2045619,6685.029411764706
2015,5,Línea 5,6756384,17018.59949622166
2019,4,Línea 2,19877277,28315.209401709402
2014,12,Línea 9,9430899,25909.063186813186
2020,8,Línea 1,9903033,17103.683937823833
2020,7,Línea B,5740062,9053.725552050473
2024,12,Línea A,6092406,20040.809210526317
2025,1,Línea 3,13681184,21376.85
2025,3,Línea 6,3369120,10027.142857142857
2014,12,Línea B,13396855,20998.205329153607
2024,10,Línea 2,19843202,27182.468493150685
2025,3,Línea 8,9949899,17214.35813148789
2015,10,Línea 11,44510,44510.0
2019,4,Línea 8,10089409,18179.115315315314
2020,7,Línea 5,3027405,7644.962121212121
2020,7,Línea 1,8990773,15554.970588235294
2014,10,Línea 3,21261208,32963.113178294574
2020,7,Línea 12,5001879,8240.327841845141
2015,10,Línea 1,23088729,37912.52709359606
2025,3,Línea 7,7628302,17781.589743589742
2025,3,Línea 11,58509,29254.5
2014,8,Línea 1,22753738,37734.225538971805
2014,8,Línea 12,4058931,14653.180505415163
2019,4,Línea 6,3663900,11343.343653250775
2019,4,Línea 4,2148740,7283.864406779661
2025,11,Línea A,7300500,24747.457627118645
2019,4,Línea 9,7309158,20531.342696629214
2012,11,Línea 11,48291,48291.0
2025,1,Línea 4,1869799,6191.387417218543
2020,8,Línea 11,36255,18127.5
2025,11,Línea 4,2581600,8751.186440677966
2015,3,Línea A,8618643,28165.5
2025,11,Línea 11,10170,10170.0
2025,3,Línea 2,18347129,25236.766162310865
2019,6,Línea 12,10612586,18203.40651801029
2015,3,Línea 11,5961,5961.0
2014,10,Línea 5,7245713,18297.25505050505
2019,4,Línea 7,7767626,18899.333333333332
2019,4,Línea B,11515903,18604.043618739903
2014,10,Línea 6,4205455,12516.235119047618
2020,7,Línea 6,1625312,4880.816816816817
2025,3,Línea 5,4939932,12537.89847715736
2015,5,Línea 7,8109503,19036.39201877934
2025,1,Línea 1,6592156,16521.694235588973
2014,10,Línea 4,2652253,8782.294701986755
2019,4,Línea 5,5991149,15683.63612565445
2015,5,Línea 2,24157644,32912.321525885556
2014,8,Línea 4,2600165,8609.817880794702
2024,12,Línea 7,6554300,15385.68075117371
2015,10,Línea 12,4507527,15436.736301369863
2021,4,Línea 8,5474561,9758.575757575758
2020,11,Línea A,4300097,14626.180272108844
2025,4,Línea 2,17277116,24299.741209563996
2021,4,Línea 2,8744553,12368.53323903819
2016,2,Línea 9,9292332,27170.56140350877
2024,11,Línea 7,7210848,17502.058252427185
2025,6,Línea 9,7551040,21210.786516853932
2015,11,Línea A,8082358,27774.426116838487
2025,6,Línea 7,6969259,16833.95893719807
2020,9,Línea B,6325802,10285.856910569106
2025,4,Línea 9,7366001,21227.668587896253
2025,9,Línea 3,14444328,23334.940226171246
2015,8,Línea B,13242887,20563.489130434784
2014,7,Línea 5,6371601,16049.372795969774
2014,7,Línea A,7756562,25855.206666666665
2025,9,Línea 12,10038713,17043.655348047538
2024,11,Línea 2,18784343,26531.55790960452
2020,2,Línea 5,6158912,16827.628415300547
2015,1,Línea 12,4247737,15616.680147058823
2020,9,Línea A,3990260,13665.27397260274
2020,2,Línea 6,3978572,12751.833333333334
2025,4,Línea 11,112307,37435.666666666664
2015,8,Línea 8,11475115,19784.681034482757
2015,11,Línea 6,4456593,13587.173780487805
2025,4,Línea 7,6973924,17051.158924205378
2024,5,Línea A,5903913,19357.091803278687
2015,11,Línea 9,9651136,27340.328611898018
2024,3,Línea 7,6765285,15733.220930232557
2020,2,Línea B,11759615,19764.058823529413
2024,5,Línea 7,7335012,17218.338028169015
2024,3,Línea 2,15331962,21031.49794238683
2025,9,Línea 8,9561677,17013.660142348755
2024,5,Línea 11,15513,15513.0
2025,9,Línea 4,2161048,7203.493333333333
2021,4,Línea 7,3752949,9131.262773722628
2015,7,Línea 7,8366148,19456.158139534884
2015,7,Línea 5,7096421,17696.81047381546
2021,4,Línea 5,3321827,8695.882198952879
2020,2,Línea 12,10900560,19258.939929328622
2024,3,Línea B,10260040,15956.516329704511
2024,5,Línea 6,3383827,10070.91369047619
2020,2,Línea 7,8654988,21583.511221945137
2015,8,Línea 3,19511044,30581.5736677116
2015,1,Línea A,8053558,26756.00664451827
2024,3,Línea 6,3083940,9205.791044776119
2014,7,Línea 3,18612629,29127.744913928014
2020,11,Línea 5,3436945,9044.592105263158
2015,7,Línea 12,3937866,14319.512727272728
2025,6,Línea 4,1934652,6602.907849829351
2020,11,Línea 4,1265190,4259.89898989899
2020,2,Línea 11,33675,11225.0
2025,4,Línea 6,2988802,9310.909657320872
2025,9,Línea 1,10556170,21197.128514056225
2015,1,Línea 9,9337688,26010.27298050139
2014,7,Línea 8,11085643,19245.90798611111
2020,2,Línea 3,18239532,30399.22
2014,7,Línea 12,3888113,14294.533088235294
2020,9,Línea 3,8881206,14324.525806451613
2025,4,Línea 4,1909966,6452.5878378378375
2024,8,Línea 2,18563249,25187.583446404344
2020,2,Línea 2,21098712,30981.955947136565
2025,9,Línea 6,3279046,10058.423312883435
2016,2,Línea 4,2416533,8419.975609756097
2024,3,Línea 8,9809096,17178.80210157618
2024,8,Línea 6,3147579,9284.893805309735
2024,8,Línea 1,5618549,18301.462540716613
2020,9,Línea 8,5784995,10385.987432675045
2016,2,Línea 12,8045699,14140.068541300527
2015,7,Línea 11,63805,31902.5
2015,11,Línea B,13202559,21363.364077669903
2014,7,Línea 2,23414960,32163.406593406595
2014,7,Línea 6,3695048,10964.53412462908
2015,8,Línea 2,24125125,32868.01771117166
2024,8,Línea 12,9308305,15385.628099173553
2016,2,Línea 8,10732804,20136.59287054409
2024,8,Línea 5,5032506,12612.796992481202
2024,5,Línea 8,10439745,18030.647668393784
2015,1,Línea 3,19102258,29754.295950155763
2025,6,Línea 1,9941408,19803.6015936255
2025,4,Línea 8,9072350,16171.74688057041
2016,2,Línea 7,8250302,20677.448621553885
2015,1,Línea 7,7842176,18408.863849765257
2024,8,Línea 7,7290496,16915.303944315547
2015,7,Línea 4,2512547,8237.859016393442
2020,9,Línea 6,1748002,5395.067901234568
2024,11,Línea 12,9537317,16137.592216582065
2015,7,Línea 8,11518933,19791.981099656357
2024,11,Línea B,10379016,16794.52427184466
2020,9,Línea 4,1081682,3642.026936026936
2020,9,Línea 12,5760105,9779.465195246179
2015,11,Línea 2,23211656,33206.947067238914
2025,6,Línea 2,16984570,24229.058487874467
2014,7,Línea 4,2494644,8206.065789473685
2025,6,Línea 3,13409901,21628.872580645162
2024,11,Línea 4,2115160,7170.033898305085
2024,11,Línea 5,4861968,12794.652631578947
2021,4,Línea A,3947049,13471.156996587031
2015,1,Línea 11,27780,13890.0
2015,7,Línea A,5876143,38406.163398692814
2015,11,Línea 1,21244108,36252.74402730376
2015,1,Línea 2,23368497,31880.623465211458
2025,6,Línea 6,3051740,9477.453416149068
2015,8,Línea A,6443930,33737.85340314136
2025,9,Línea 2,17191335,24524.015691868757
2024,11,Línea 8,10117311,18131.38172043011
2016,2,Línea 5,6875161,18581.516216216216
2015,8,Línea 6,4230503,12628.367164179104
2015,8,Línea 12,3796748,13806.356363636363
2015,1,Línea 1,22182828,36187.32137030995
2016,2,Línea 2,22203268,32413.5299270073
2021,4,Línea 1,9750629,16278.178631051753
2021,4,Línea 6,1683809,5213.030959752322
2024,3,Línea 3,12245817,19284.75118110236
2025,4,Línea B,9719243,15777.991883116883
2020,9,Línea 2,9443715,14137.297904191617
2025,4,Línea 12,9194264,15478.558922558923
2024,11,Línea 6,3080734,9749.158227848102
2014,7,Línea 1,22367700,36548.529411764706
2025,4,Línea 1,7063306,17061.125603864733
2015,7,Línea 1,22370978,36854.98846787479
2020,11,Línea 8,5817909,10389.123214285713
2020,11,Línea 7,4077100,9800.721153846154
2021,4,Línea 9,3941575,11765.89552238806
2024,3,Línea 5,4981115,12483.997493734336
2015,1,Línea 4,2499157,8167.179738562091
2015,1,Línea 5,6814697,17252.39746835443
2020,11,Línea 12,6078968,10373.665529010239
2016,2,Línea 6,4074887,12977.347133757961
2020,11,Línea 2,10325667,15319.980712166172
2020,9,Línea 1,10331788,17999.630662020907
2015,1,Línea B,12994495,20431.595911949684
2025,6,Línea 12,9334658,16011.42024013722
2016,2,Línea B,12625707,21148.587939698493
2024,5,Línea 3,14876192,23538.278481012658
2016,2,Línea 11,18470,18470.0
2024,3,Línea 1,4943979,16051.87987012987
2015,11,Línea 8,11272807,20094.130124777184
2020,9,Línea 5,3251824,8557.431578947368
2015,8,Línea 9,9789342,27042.381215469613
2015,11,Línea 3,19032652,30648.392914653785
2021,4,Línea 4,1076083,3685.2157534246576
