año,mes,linea,afluencia_total,afluencia_promedio_diaria
2019,10,Línea B,13070624,20486.871473354233
2019,10,Línea 2,23025549,31541.847945205478
2017,3,Línea 1,20827155,34086.99672667758
2016,10,Línea 5,7433433,18771.295454545456
2013,1,Línea 4,2459958,7909.832797427653
2016,12,Línea 8,11639538,20277.940766550524
2016,8,Línea 6,4236613,12684.47005988024
2013,7,Línea 3,19347278,30277.430359937403
2016,5,Línea 3,19768844,30840.63026521061
2016,5,Línea 4,2519158,8259.534426229508
2018,10,Línea 3,20066562,31851.685714285715
2016,12,Línea 7,8576835,19946.127906976744
2019,5,Línea 2,23581122,32083.15918367347
2017,12,Línea 2,23445408,32073.061559507525
2013,5,Línea 12,7453210,12198.379705400983
2016,10,Línea 7,9184635,21610.90588235294
2016,10,Línea 9,10312730,28331.675824175825
2013,7,Línea A,7202575,23537.82679738562
2013,5,Línea 3,20777474,32566.5736677116
2019,5,Línea 5,6861590,17283.60201511335
2013,8,Línea 1,23854877,38978.55718954248
2013,5,Línea A,7554008,24930.719471947195
2016,5,Línea 8,11066048,19178.592720970537
2013,1,Línea 11,49285,24642.5
2013,7,Línea 4,2352171,7712.03606557377
2018,8,Línea 2,23462175,32052.15163934426
2019,10,Línea 5,6529746,16406.396984924624
2019,5,Línea 4,2437564,8018.3026315789475
2013,1,Línea 6,3824689,11282.268436578172
2013,5,Línea 9,10223839,27782.171195652172
2017,12,Línea 4,2741547,8930.12052117264
2013,1,Línea 5,6552538,16588.703797468355
2013,8,Línea B,14447253,23005.179936305733
2018,8,Línea A,8764662,28926.27722772277
2018,10,Línea 7,10017402,23681.801418439718
2017,12,Línea 7,8118936,19013.90163934426
2016,5,Línea 1,22078186,36253.1789819376
2013,1,Línea A,7099433,23586.1561461794
2019,10,Línea 8,11301813,19621.203125
2017,3,Línea 6,4456850,13147.050147492626
2017,8,Línea 2,23757279,32544.21780821918
2016,8,Línea 12,9255571,15248.05766062603
2013,7,Línea 8,10523481,18143.93275862069
2019,10,Línea 11,15695,15695.0
2018,8,Línea 3,20145930,31234.0
2016,8,Línea B,13397117,20998.615987460817
2017,3,Línea B,13261326,20753.24882629108
2019,8,Línea 8,11594416,20024.89810017271
2019,8,Línea 12,11511324,18995.58415841584
2016,12,Línea A,8650038,27993.650485436894
2018,8,Línea 5,7832318,19980.40306122449
2017,8,Línea 8,10820327,18785.289930555555
2019,8,Línea 6,4440995,13296.392215568862
2019,10,Línea 6,4289240,12803.701492537313
2019,10,Línea A,6968926,22774.267973856207
2013,8,Línea 7,8690993,20164.716937354988
2013,7,Línea 7,8119936,18927.589743589742
2013,5,Línea 1,22622320,36904.27406199021
2019,8,Línea 3,20255905,31307.42658423493
2019,8,Línea 11,21474,21474.0
2013,10,Línea A,7812010,26303.063973063974
2017,12,Línea 9,8859977,24679.601671309192
2017,12,Línea A,7781317,25512.51475409836
2017,3,Línea 5,7347896,18555.29292929293
2013,8,Línea 2,26176879,35858.73835616438
2017,8,Línea 6,4376331,13181.719879518072
2019,10,Línea 12,11768467,19198.15171288744
2013,5,Línea 8,10909128,18939.458333333332
2017,3,Línea 12,10283450,16858.114754098362
2013,8,Línea 6,4441039,13498.598784194528
2016,12,Línea 5,7079701,17788.193467336685
2017,3,Línea 2,24352952,33269.06010928962
2013,1,Línea 1,21225260,34852.64367816092
2013,10,Línea 4,2790944,9241.53642384106
