año,linea,afluencia_total,afluencia_prev,variacion_pct_yoy
2018,LÍNEA 9,196601,299834,-34.43005129504993
2019,LÍNEA 9,242836,196601,23.51717437856369
2020,LÍNEA 9,191880,242836,-20.983709169974798
2021,LÍNEA 9,61114990,191880,31750.63060245987
2022,LÍNEA 9,85671742,61114990,40.18122558802677
2023,LÍNEA 9,40091798,85671742,-53.203008291812246
2024,LÍNEA 9,242992,40091798,-99.39391094407888
2025,LÍNEA 9,290087,242992,19.381296503588597
2026,LÍNEA 9,10489,290087,-96.38418819181832
2010,LÍNEA A,194226,,
2011,LÍNEA A,233849,194226,20.400461318258113
2012,LÍNEA A,229826,233849,-1.7203409037455795
2013,LÍNEA A,201541,229826,-12.307136703419108
2014,LÍNEA A,190576,201541,-5.44058032856838
2015,LÍNEA A,331562,190576,73.97888506422635
2016,LÍNEA A,99952,331562,-69.85420524668086
2017,LÍNEA A,316715,99952,216.86709620617896
2018,LÍNEA A,265515,316715,-16.165953617605734
2019,LÍNEA A,385095,265515,45.037003559120954
2020,LÍNEA A,70173,385095,-81.77774315428661
2021,LÍNEA A,53626179,70173,76319.96066863324
2022,LÍNEA A,71494082,53626179,33.31936627444592
2023,LÍNEA A,31536772,71494082,-55.888975537863395
2024,LÍNEA A,194935,31536772,-99.38188030150961
2025,LÍNEA A,285777,194935,46.60117475055788
2026,LÍNEA A,95677,285777,-66.52039877246945
2010,LÍNEA B,563096,,
2011,LÍNEA B,664980,563096,18.093540000284143
2012,LÍNEA B,696519,664980,4.742849409004782
2013,LÍNEA B,408767,696519,-41.3128715799569
2014,LÍNEA B,391623,408767,-4.194076331993532
2015,LÍNEA B,612547,391623,56.412417043942774
2016,LÍNEA B,547016,612547,-10.69811785871125
2017,LÍNEA B,302889,547016,-44.6288591192945
2018,LÍNEA B,550304,302889,81.68503973402798
2019,LÍNEA B,359085,550304,-34.747884805489335
2020,LÍNEA B,408209,359085,13.68032638511773
2021,LÍNEA B,85816851,408209,20922.772893297308
2022,LÍNEA B,117745440,85816851,37.205500584028655
2023,LÍNEA B,52743252,117745440,-55.2056945899561
2024,LÍNEA B,382218,52743252,-99.27532341009234
2025,LÍNEA B,353131,382218,-7.610054994793547
2026,LÍNEA B,46812,353131,-86.74372966406234
