año,mes,tipo_ingreso,ingreso_total
2021,9,Tarjeta,12015.0
2018,6,Recargas,2.98059143E8
2018,4,Recargas,3.02874299E8
2019,8,Recarga,1029109.0
2018,9,Tarj.,0.0
2020,11,Recargas,2.2973242E8
2020,6,Tarjeta,13320.0
2020,2,Boletos,1.9035987E8
2020,6,Recarga,675439.0
2012,11,Tarjetas,6050920.0
2020,2,Tarjetas,1.529028E7
2019,8,Boletos,2.5989015E8
2019,4,Rec.,668178.0
2019,8,Boleto,3404435.0
2019,4,Boleto,1230660.0
2017,2,Tarjetas,1325560.0
2018,9,Boleto,665025.0
2012,11,Boleto,919542.0
2019,4,Boletos,2.38847655E8
2018,6,Boleto,1385175.0
2019,4,Recarga,5624358.0
2017,2,Boleto,0.0
2019,11,Recarga,1313664.0
2017,2,Bol.,0.0
2021,9,Recargas,2.024892215999998E8
2018,9,Rec.,658108.0
2021,9,Boletos,1.0936078E8
2018,4,Boletos,2.558751E8
2017,2,Tarj.,90.0
2020,6,Rec.,1299481.0
2019,11,Tarjeta,65260.0
2018,6,Tarjetas,1962520.0
2020,2,Bóletos,246900.0
2019,4,Recargas,2.49580923E8
2012,11,Boletos,2.18016942E8
2012,11,Tarjeta,11030.0
2018,9,Tarjeta,0.0
2017,2,Boletos,2.6898359E8
2020,11,Boleto,720445.0
2018,9,Recarga,325669.0
2012,11,Recarga,583491.3
2019,8,Recargas,2.72891353E8
2018,6,Recarga,1009532.0
2018,9,Recargas,2.95656114E8
2020,6,Tarj.,13005.0
2019,4,Bóletos,1532645.0
2019,11,Boletos,2.2945684E8
2020,2,Rec.,1589643.0
2019,11,Recargas,3.05667028E8
2019,11,Boleto,384500.0
2018,6,Boletos,2.48717425E8
2020,11,Boletos,7.848897E7
2019,4,Tarjeta,0.0
2012,11,Recargas,1.6464217904999998E8
2020,11,Tarj.,3825.0
2020,2,Recargas,3.87317268E8
2019,11,Tarj.,735.0
2018,4,Recarga,3923138.0
2019,4,Tarjetas,941790.0
2017,2,Recarga,905595.0
2021,9,Recarga,2536046.8
2021,9,Tarjetas,1757100.0
2019,4,Bol.,566175.0
2020,6,Boletos,5.0782285E7
2020,2,Tarjeta,124845.0
2018,9,Boletos,2.53716105E8
2020,11,Tarjeta,20640.0
2017,2,Recargas,2.78558833E8
2019,8,Tarjeta,0.0
2020,11,Tarjetas,2493540.0
2019,11,Rec.,657964.0
2020,2,Boleto,2483825.0
2019,8,Tarjetas,1236820.0
2020,6,Recargas,1.34429382E8
2018,4,Bol.,1599005.0
2021,9,Boleto,85925.0
2019,11,Tarjetas,4477130.0
2018,9,Tarjetas,1103690.0
2020,6,Tarjetas,2211240.0
2020,11,Rec.,562025.0
2018,4,Tarjeta,5310.0
2019,8,Tarj.,0.0
2020,2,Bol.,395950.0
2018,9,Bol.,92425.0
2018,4,Tarjetas,2308310.0
2015,9,Boleto,647800.0
2013,8,Recarga,1328423.5
2013,9,Tarj.,0.0
2016,5,Tarjetas,1190730.0
2018,10,Tarj.,0.0
2019,6,Tarj.,0.0
2015,9,Boletos,3.0123377E8
2013,9,Tarjeta,0.0
2015,9,Bol.,1642555.0
2018,10,Tarjetas,1136010.0
2013,6,Boleto,946770.0
2016,5,Boletos,3.1059545E8
2016,3,Boleto,1624825.0
2018,12,Recargas,2.59547836E8
2016,3,Tarjeta,0.0
2013,8,Tarjetas,1239800.0
2018,10,Boletos,2.7231886E8
2016,3,Recarga,3540581.0
2019,6,Tarjetas,1084530.0
2013,9,Bol.,2251470.0
2015,11,Tarj.,3280.0
2017,9,Bol.,430125.0
2017,9,Tarjeta,750.0
2017,9,Recargas,2.00261108E8
2019,6,Tarjeta,0.0
2016,3,Tarjetas,1653330.0
2020,4,Tarjeta,12720.0
2015,9,Tarjetas,1530250.0
2013,6,Recargas,1.8402642945000002E8
2018,10,Recargas,3.14099781E8
2013,8,Boletos,2.09496612E8
2018,10,Recarga,2616582.0
2015,11,Tarjeta,4390.0
2020,4,Boleto,143600.0
2016,5,Bóletos,1143500.0
2018,12,Rec.,1991138.0
2016,3,Recargas,2.4007558310000002E8
2017,9,Boletos,1.99178825E8
2013,6,Tarjetas,2165020.0
2013,6,Bol.,250680.0
2013,8,Recargas,2.1218828429999998E8
2020,4,Recarga,1668696.0
2019,6,Recarga,996359.0
2015,9,Rec.,1486735.0
2020,4,Boletos,5.220944E7
2018,10,Tarjeta,0.0
2013,6,Recarga,4011600.7
2016,3,Boletos,2.650844E8
2018,12,Bol.,1548200.0
2013,6,Tarjeta,24930.0
2013,6,Tarj.,3120.0
2016,5,Recargas,2.8592038600000006E8
2015,11,Tarjetas,1524440.0
2013,9,Recargas,2.0006974195000005E8
2015,11,Boletos,3.07329445E8
2013,6,Boletos,1.8725055E8
2018,12,Recarga,3605621.0
2018,12,Tarjetas,1238800.0
2017,9,Tarjetas,1138570.0
2017,9,Rec.,725415.0
2020,4,Tarjetas,2107275.0
2019,6,Boletos,2.4353628E8
2015,9,Recargas,2.565617197E8
2013,9,Boleto,1011465.0
2013,9,Tarjetas,1123990.0
2017,9,Boleto,1647150.0
2017,9,Tarj.,10.0
2018,12,Boletos,2.59188095E8
2013,9,Boletos,1.90286034E8
2019,6,Recargas,2.5755297E8
2017,9,Recarga,5407335.0
2018,10,Boleto,3527205.0
2016,5,Recarga,953925.0
2015,11,Recargas,2.713384088000001E8
2015,9,Bóletos,1900025.0
2013,9,Recarga,500847.0
2015,9,Tarjeta,1420.0
2016,5,Tarjeta,0.0
2020,4,Recargas,1.11064778E8
2013,2,Boleto,1839045.0
2019,9,Tarjetas,1157310.0
2012,3,Recarga,124850.5
2012,10,Recarga,286029.5
2016,2,Recarga,168378.0
2014,2,Recargas,2.4116105655000022E8
2018,2,Boletos,2.45662065E8
2015,2,Boleto,2037875.0
2014,2,Recarga,1366604.3
2016,2,Recargas,2.854335863E8
2019,9,Rec.,1121684.0
2014,2,Boleto,1007875.0
2018,2,Recargas,2.83208507E8
2018,2,Rec.,210088.0
2012,9,Tarjetas,964060.0
2013,2,Bóletos,505110.0
2013,2,Recargas,1.7878023595000002E8
2012,9,Boleto,3849927.0
2012,3,Tarjeta,18170.0
2012,3,Tarjetas,929290.0
2015,2,Recargas,2.4469772995000023E8
2013,2,Tarj.,1790.0
2012,1,Boleto,3195519.0
2012,1,Recargas,1.2676786269999997E8
2012,5,Boleto,701970.0
2019,9,Boleto,526910.0
2018,11,Boletos,2.55646275E8
2012,9,Rec.,126670.0
2019,9,Tarjeta,0.0
2012,5,Boletos,2.36683275E8
2016,2,Tarjetas,1074170.0
2012,5,Bol.,1343883.0
2012,3,Tarj.,3580.0
2019,9,Tarj.,45780.0
2012,1,Tarjeta,7330.0
2012,5,Tarjeta,0.0
2019,9,Recargas,2.56594026E8
2014,2,Rec.,1501832.0
2012,3,Boletos,2.38362156E8
2015,2,Recarga,1860266.3
2018,11,Recargas,2.84405481E8
2018,2,Boleto,3973750.0
2012,9,Recarga,561965.5
2013,2,Recarga,1162308.3
2013,2,Tarjeta,15430.0
2014,2,Bol.,4181780.0
2019,9,Boletos,2.42784075E8
2016,2,Tarjeta,43100.0
2016,2,Boletos,2.7900181E8
2018,2,Bóletos,1887275.0
2018,11,Tarjeta,0.0
2018,11,Bol.,1385750.0
2012,10,Rec.,853696.0
2012,10,Tarjetas,2280420.0
2018,2,Recarga,747868.0
2012,5,Tarjetas,42410.0
2016,2,Bol.,2448425.0
2018,11,Recarga,2383703.0
2012,9,Tarj.,0.0
2019,9,Bóletos,123325.0
2014,2,Tarjetas,1832820.0
2012,3,Boleto,1041969.0
2013,2,Boletos,1.79216355E8
2012,5,Rec.,413634.3
2012,10,Bóletos,1211136.0
2012,5,Recarga,144200.0
2016,2,Rec.,1531484.0
2018,2,Tarjeta,5460.0
2012,1,Tarjetas,1221740.0
2012,1,Tarj.,3350.0
2018,2,Tarjetas,2824110.0
2012,3,Recargas,1.3187059189999998E8
2012,9,Recargas,1.1496200759999998E8
2012,10,Recargas,1.3469385309999996E8
2012,10,Boletos,2.55276369E8
2016,2,Bóletos,244700.0
2018,11,Boleto,2485900.0
2012,10,Tarjeta,0.0
2015,2,Bol.,706550.0
2012,1,Boletos,2.29683174E8
2015,2,Boletos,2.83758745E8
2015,2,Tarjeta,19740.0
2012,9,Boletos,2.42991567E8
2016,2,Boleto,2511625.0
2012,10,Boleto,774870.0
2013,2,Tarjetas,2420920.0
2014,2,Tarjeta,5380.0
2012,5,Recargas,1.2663677786999999E8
2014,2,Boletos,2.70715555E8
2015,2,Tarjetas,1395890.0
2018,11,Tarjetas,1119600.0
2021,2,Tarjeta,3165.0
2019,2,Tarjeta,43380.0
2012,7,Tarjetas,0.0
2012,6,Recargas,1.1574885729999998E8
2021,2,Boletos,6.336143E7
2012,8,Tarjeta,0.0
2021,2,Recarga,3040798.0
2012,8,Recarga,1389474.3
2012,8,Recargas,1.1194443729999992E8
2012,6,Rec.,728319.0
2012,7,Tarjeta,0.0
2021,2,Bóletos,188775.0
2012,4,Recargas,1.1473650399999996E8
2021,2,Recargas,1.74752558E8
2012,2,Bol.,929865.0
2012,6,Boletos,2.3773224E8
2012,2,Tarjetas,1032470.0
2012,8,Boleto,1192830.0
2019,2,Tarjetas,1026900.0
2012,4,Tarjeta,3270.0
2012,6,Boleto,2804376.0
2012,2,Recargas,1.1924484309999996E8
2012,6,Tarjeta,0.0
2012,7,Bol.,717405.0
2012,2,Bóletos,745809.0
2019,2,Recarga,429583.0
2012,4,Recarga,960620.0
2012,7,Bóletos,169725.0
2012,2,Tarjeta,9780.0
2012,6,Tarjetas,10.0
2012,8,Rec.,304232.5
2012,4,Tarjetas,782210.0
2012,2,Recarga,1843464.5
2012,8,Tarj.,0.0
2019,2,Boleto,4859020.0
2012,4,Tarj.,3190.0
2012,4,Bóletos,1253874.0
2019,2,Boletos,2.2720505E8
2012,7,Recargas,1.0695872589999998E8
2019,2,Recargas,2.64772469E8
2012,8,Tarjetas,12000.0
2012,2,Boletos,2.23740402E8
2012,7,Boletos,2.31573648E8
2012,6,Tarj.,0.0
2012,7,Recarga,1541438.0
2021,2,Boleto,550000.0
2012,2,Rec.,103254.0
2012,4,Boletos,2.17238532E8
2012,8,Boletos,2.55973881E8
2012,6,Recarga,64580.0
2021,2,Tarjetas,1674435.0
