año,mes,linea,afluencia_total,ingreso_total,ingreso_por_pasajero
2015,6,Línea B,12941281,5.8927714449999996E7,4.553468427893653
2013,4,Línea 3,20669839,5.7639445699999996E7,2.788577390467337
2015,7,Línea 9,10067250,3.75476187E7,3.7296797735230576
2015,6,Línea 3,19071347,8.468098258999999E7,4.44022032581128
2018,3,Línea 8,11015307,4.6199455E7,4.194114154058529
2019,1,Línea 2,21923201,8.7381641E7,3.985806680329209
2013,4,Línea 6,4193737,1.2580485700000001E7,2.9998270516248398
2013,4,Línea B,13801053,3.90969361E7,2.83289514937737
2021,3,Línea 2,8964405,4.2831156E7,4.777913983136639
2021,4,Línea B,6282775,2.7992857091918267E7,4.4554925318697975
2015,4,Línea 2,21942393,8.736461174999999E7,3.9815443898940277
2016,6,Línea 12,8530504,4.7092678E7,5.5205035950982495
2015,6,Línea 1,21438462,8.802229299999999E7,4.105811928113126
2018,3,Línea A,8451369,2.7286624E7,3.228663190543449
2013,3,Línea 9,9787443,2.35472563E7,2.405863952413312
2013,3,Línea 4,2272560,6948681.7,3.0576449906713137
2015,7,Línea B,13300636,5.7868495800000004E7,4.3508066681924085
2015,10,Línea B,13888802,6.3269444E7,4.555428466760488
2015,6,Línea 4,2459630,1.22659136E7,4.986893801100165
2015,4,Línea 12,3657990,2.03051548E7,5.550904950532943
2021,3,Línea 9,4353411,1.9461823E7,4.470476828399616
2018,3,Línea 4,2420448,1.1463228E7,4.735994328322691
2018,3,Línea 5,7194710,2.568311E7,3.569721364724916
2021,3,Línea A,4382496,2.4471579E7,5.5839364143173205
2015,12,Línea 9,9416887,3.6158293E7,3.8397288828038394
2015,6,Línea 9,9921682,3.7983556699999996E7,3.8283384510811773
2015,7,Línea 2,23492306,1.010455245E8,4.301217790199055
2018,3,Línea 7,8351734,4.200917E7,5.02999377135335
2015,10,Línea 1,23088729,9.635639E7,4.17330854374877
2013,3,Línea 12,6395062,2.4728737900000002E7,3.8668488124118268
2015,12,Línea A,7852324,2.4707249E7,3.1464887337812346
2021,4,Línea 3,8093199,3.952794555516389E7,4.884094108542727
2015,7,Línea 6,4383593,1.94638877E7,4.44016762048849
2015,12,Línea 8,11490368,5.1184452E7,4.454552891604516
2016,6,Línea B,12630398,5.8178664E7,4.60624154519913
2013,4,Línea 9,10626340,2.5423728E7,2.392519719865918
2018,3,Línea 2,22824157,9.1326041E7,4.001288678482189
2021,3,Línea 8,5792857,2.3752616E7,4.100328387184424
2013,4,Línea 1,21377661,5.965771629999999E7,2.790656859045524
2016,6,Línea A,8436662,2.6945497E7,3.193857594389819
2016,6,Línea 4,2478289,1.1472419E7,4.629169156623783
2016,6,Línea 8,11011828,4.8451287E7,4.399931328386168
2019,1,Línea 4,2410931,1.1030514E7,4.575209327848868
2013,4,Línea 2,25164222,6.909902625E7,2.7459234086394564
2021,3,Línea B,6438119,3.0579253E7,4.749718512503419
2015,12,Línea 3,17684905,8.0364522E7,4.54424391875444
2015,6,Línea A,6684121,1.8046173400000002E7,2.69985737840473
2015,10,Línea 12,4507527,2.4749802E7,5.490771769087573
2015,12,Línea 5,6952738,2.8493526E7,4.098173410245
2020,5,Línea 12,3116980,1.4581168E7,4.677979326142612
2016,1,Línea 4,2501463,1.2005601E7,4.7994317725267175
2018,8,Línea 8,11370266,4.8042124E7,4.225241872089888
2016,3,Línea 6,3636401,1.6787456E7,4.61650296543203
2012,11,Línea 5,6721856,1.76152893E7,2.6205990280065508
2013,6,Línea 4,2301135,7363965.5,3.2001449284809453
2014,11,Línea A,7982974,2.49438626E7,3.124632824809401
2019,5,Línea 8,11293168,4.390744E7,3.8879648297094316
2014,11,Línea 8,11287219,5.063517429999999E7,4.486062891133767
2019,5,Línea B,13004454,5.0093648E7,3.852037771059054
2017,1,Línea 9,9379117,3.6226157E7,3.8624272412850806
2016,3,Línea 7,7663834,3.4906895E7,4.554756144248427
2016,1,Línea 3,18014617,8.2240268E7,4.565196584529108
2019,3,Línea 5,6611903,2.4492178E7,3.7042554919514092
2019,11,Línea B,13107919,5.203756E7,3.969932984785762
2018,8,Línea 1,21647410,8.5045445E7,3.9286660621293725
2012,11,Línea 6,4777060,1.337847765E7,2.800567221261613
2016,1,Línea 1,21175370,8.4004503E7,3.9670854865818166
2012,11,Línea 9,10057773,2.54788878E7,2.5332534150452592
2020,5,Línea 7,2000551,9260474.0,4.628961721045852
2019,3,Línea 12,10731735,5.3403565E7,4.976228447683436
2019,11,Línea 1,20285370,7.7221136E7,3.8067403256632737
2013,6,Línea 6,3733792,1.14413263E7,3.064264506432067
2016,3,Línea 1,18818141,7.8987213E7,4.197397234934099
2019,5,Línea 6,4335131,1.6071835E7,3.7073470213472213
2012,11,Línea 2,25096233,7.06371751E7,2.8146525058163108
2013,6,Línea 8,10623039,3.05347635E7,2.8743906051742822
2016,3,Línea A,7313476,2.2683061E7,3.1015430966068664
2019,5,Línea 12,11651866,5.200316E7,4.46307569963472
2019,5,Línea 7,9658936,3.9211389E7,4.059597144033256
2012,11,Línea 12,5201991,2.3456839300000004E7,4.509204129726484
2019,11,Línea 7,9229424,3.851098E7,4.172630924746766
2020,5,Línea 9,2490829,9616535.0,3.8607768738841566
2014,9,Línea 3,20099905,8.32415155E7,4.141388504075019
2017,1,Línea 8,10828805,5.0557862E7,4.66883114064756
2014,11,Línea 9,9132403,3.5854457699999996E7,3.9260704657908763
2013,6,Línea 7,8038265,2.49521356E7,3.1041693201206977
2012,11,Línea 3,20113340,5.56066601E7,2.7646656447909694
2014,9,Línea 7,8226188,4.062878620000001E7,4.9389566832170635
2019,11,Línea 4,2520498,1.1645964E7,4.6205011866702534
2014,9,Línea B,13134717,5.8874566699999996E7,4.482362787108394
2014,9,Línea 2,23846482,9.618267509999998E7,4.033411515375726
2017,1,Línea 2,22471538,9.466818E7,4.212803769817625
2020,5,Línea 4,546782,1324687.0,2.422696796895289
2020,5,Línea 2,5168380,2.314475E7,4.478144021917893
2014,11,Línea B,12843516,5.83823168E7,4.545664660673915
2019,11,Línea 6,4448990,1.6274291E7,3.657974281803286
2017,1,Línea 12,9134364,4.77034926E7,5.222420805652151
2016,1,Línea 5,6651697,2.6365012E7,3.963651982343754
2012,11,Línea B,13804716,3.95474298E7,2.864776776284278
2016,1,Línea 12,7515797,4.162123029E7,5.537833218486343
2014,11,Línea 2,23220286,9.678390159999998E7,4.168075345841992
2018,8,Línea 9,9667399,3.6149978E7,3.7393696070680438
2018,8,Línea 4,2685503,1.1984093E7,4.462513354109081
2014,9,Línea 4,2618556,1.2182042E7,4.652198387202718
2016,1,Línea 6,3994193,1.9012985E7,4.760156807645499
2016,3,Línea 12,7237526,3.91996875E7,5.416172252783617
2019,3,Línea 2,21716689,9.0010623E7,4.144767326179419
2018,8,Línea 7,9144907,4.4312235E7,4.8455643124637575
2016,3,Línea B,13184338,4.8996590599999994E7,3.7162723376782356
2019,5,Línea 3,19373018,7.1288621E7,3.679789127331632
2019,11,Línea A,7121861,2.6925791E7,3.780724027048548
2013,6,Línea 2,23841580,6.59755313E7,2.767246604461617
2014,9,Línea 1,22520364,8.564908069999997E7,3.8031836741182325
2017,1,Línea 3,17847329,8.1466871E7,4.564653399956935
2017,1,Línea 1,20441731,8.612148E7,4.213022859952516
2019,5,Línea 9,8881152,3.1490721E7,3.545792370179004
2012,11,Línea 8,11034734,3.21452997E7,2.913101457633686
2014,9,Línea A,8172065,2.4916963200000003E7,3.049041239882454
2018,8,Línea 6,4321503,1.9140667E7,4.4291689719988625
2014,9,Línea 6,4096030,1.8435725E7,4.500876458424377
2013,6,Línea B,13319854,3.7471233900000006E7,2.8131865334259674
2014,9,Línea 5,7005569,2.82033705E7,4.025850077274237
2014,9,Línea 9,10264287,3.71613558E7,3.6204517469162734
2014,9,Línea 8,12429711,5.04482814E7,4.058684984711229
2016,1,Línea B,12762836,5.4396664E7,4.262114157072927
2019,11,Línea 12,11932915,5.2582207E7,4.406484668666457
2019,3,Línea 4,2482035,1.0514323E7,4.236170319918937
2019,11,Línea 2,23028407,9.2110178E7,3.99985018503451
2016,3,Línea 9,8312469,3.2592541E7,3.920921810355022
2018,8,Línea 12,11351744,5.6997731E7,5.021055002649813
2020,5,Línea 3,4932202,2.3083922E7,4.6802466727842855
2019,11,Línea 5,6536639,2.3398965E7,3.5796630347798004
2016,1,Línea 9,9108024,3.4551947E7,3.7935722391596682
2013,6,Línea 1,21646697,5.76063308E7,2.6612065018510673
2019,3,Línea A,6469590,2.7657052E7,4.274931178019009
2014,11,Línea 7,8060260,3.93025283E7,4.876086912829114
2018,8,Línea B,13349943,5.5966153E7,4.192239097949707
2012,11,Línea 1,21436673,5.9493801E7,2.7753281024532117
2019,11,Línea 8,11348504,4.4494514E7,3.9207382752828037
2014,11,Línea 4,2471600,1.17479114E7,4.753160462858068
2020,5,Línea 8,2889900,1.0966259E7,3.794684591162324
2014,11,Línea 1,21315363,8.527948039999998E7,4.000845793712262
2017,1,Línea 7,8716763,4.2009088E7,4.819344979323173
2016,3,Línea 5,6331058,2.4241912E7,3.8290459509295287
2013,6,Línea 9,9668386,2.46719239E7,2.551814118716402
2019,3,Línea 6,4157837,1.7006173E7,4.090149036626496
2019,3,Línea 1,19531696,7.2733015E7,3.7238453332470463
2013,6,Línea A,7014449,2.0354131E7,2.9017433871142266
2019,3,Línea 3,18128827,7.2840872E7,4.017958359909331
2016,1,Línea A,7761470,2.3847529E7,3.0725531374855537
2020,5,Línea 1,5476281,2.47304E7,4.515911436977029
2017,1,Línea 4,2531068,1.2168684E7,4.8077270148411655
2017,1,Línea 5,6618846,2.489324E7,3.760963769212941
2019,5,Línea A,6854257,2.4680716E7,3.600786489330645
2019,5,Línea 1,20273777,7.3717076E7,3.636080045666873
2014,11,Línea 3,19258346,8.270948969999997E7,4.294734848984434
2012,11,Línea A,7282744,2.14924991E7,2.9511540018432614
2016,3,Línea 3,16389519,7.3331351E7,4.4742832904370164
2020,5,Línea A,2074115,1.1206598E7,5.4030745643322575
2019,3,Línea 7,8634495,3.8427882E7,4.450507180790538
2012,11,Línea 4,2430660,7183296.3,2.95528634198119
2013,6,Línea 5,6562675,1.620115565E7,2.4686816961071516
2019,11,Línea 9,8563609,3.2372486E7,3.780238682079016
2019,5,Línea 2,23581122,8.7929284E7,3.7287998425180957
2019,5,Línea 5,6861590,2.3489647E7,3.4233533335567996
2019,5,Línea 4,2437564,1.0161852E7,4.168855463897564
2018,8,Línea 2,23462175,9.8995276E7,4.219356304349447
2012,11,Línea 7,7662916,2.4188449200000003E7,3.1565593567774988
2019,11,Línea 3,19435404,7.4449049E7,3.8305892174919545
2018,8,Línea A,8764662,2.8194625E7,3.2168525152481635
2019,3,Línea 8,11040802,4.548667E7,4.11987009639336
2017,1,Línea A,8284895,2.6787891E7,3.2333410381181658
2014,11,Línea 12,4390290,2.00292361E7,4.562166986691085
2016,1,Línea 8,10747338,4.6915099E7,4.365276220027694
2014,11,Línea 6,3890466,1.746515465E7,4.4892191963636225
2020,5,Línea 5,1931325,7563786.0,3.9163714030523087
2016,3,Línea 2,20588140,8.5378937E7,4.146996134667823
2020,5,Línea B,3594572,1.3919513E7,3.872370062416332
2016,3,Línea 8,9950858,4.4741973E7,4.496292982976946
2016,1,Línea 7,8029004,4.0598266E7,5.056451086585584
2013,6,Línea 12,7342140,2.61918831E7,3.5673363760429524
2018,8,Línea 3,20145930,8.4159562E7,4.177496993189195
2018,8,Línea 5,7832318,2.6111397E7,3.3338019472651648
2014,11,Línea 5,6686282,2.6027070900000002E7,3.892607416199317
2019,3,Línea B,12504648,5.1212593E7,4.095484575015626
2017,1,Línea 6,3893507,1.8088496E7,4.645810576428911
2016,3,Línea 4,2173644,1.0131102E7,4.660883750973021
2013,6,Línea 3,19272844,5.5914719599999994E7,2.9012178794162393
2014,9,Línea 12,3927842,2.1602066400000002E7,5.499728960584464
2020,5,Línea 6,1092066,3362560.0,3.079081300947012
2016,1,Línea 2,22486156,9.2055302E7,4.093865665612211
2019,3,Línea 9,8114520,3.2669624E7,4.026069810660396
2017,1,Línea B,12282678,5.7788105E7,4.704845718498849
2014,4,Línea 1,20142091,8.261805899999997E7,4.101761778357568
2020,9,Línea B,6325802,2.6159153E7,4.135310115618541
2021,9,Línea 7,4462628,2.3722003099999998E7,5.315702563601537
2019,7,Línea 5,6329956,2.1581551E7,3.4094314399657755
2018,12,Línea 4,2601035,1.1402376E7,4.383784147464374
2015,9,Línea A,8061084,2.3434184E7,2.907076021041339
2019,10,Línea 7,9299719,4.0526047E7,4.357771132654653
2020,2,Línea 5,6158912,2.7535487E7,4.4708362451030315
2015,9,Línea B,12910022,5.7479167E7,4.452290398885455
2020,9,Línea A,3990260,2.2104953E7,5.539727486429456
2013,8,Línea 3,22132166,5.93977253E7,2.683773711981014
2018,12,Línea 1,19992087,7.855057E7,3.929083041705451
2020,2,Línea 6,3978572,1.7493056E7,4.39681775270122
2016,5,Línea 7,8862178,4.2137316E7,4.754735912548812
2017,2,Línea 12,8855900,4.8271532E7,5.4507765444505925
2015,9,Línea 1,21333953,8.7595991E7,4.105942813317345
2020,2,Línea B,11759615,5.6138694E7,4.77385475629942
2013,8,Línea 9,10772813,2.70210336E7,2.5082616397407067
2019,8,Línea 2,23627725,9.1767899E7,3.8839075281263855
2015,9,Línea 5,7121364,2.8497845E7,4.001739694811275
2020,2,Línea 12,10900560,6.0393923E7,5.540442234160447
2019,8,Línea 9,8625823,3.2124029E7,3.724169740093206
2020,2,Línea 7,8654988,4.3403129E7,5.014810996849447
2015,9,Línea 7,8126281,4.325636E7,5.323020456713225
2018,12,Línea 3,16473565,7.106837E7,4.314085627488646
2013,8,Línea 5,7670170,1.90061735E7,2.4779338006849914
2019,8,Línea B,13123508,5.0784577E7,3.869741002177162
2020,2,Línea 3,18239532,8.3823506E7,4.595704867866127
2016,5,Línea B,13284230,5.82285253E7,4.383281929024113
2014,4,Línea 5,6414660,2.63182154E7,4.102823127024659
2020,9,Línea 3,8881206,4.2065429E7,4.736454598620953
2020,2,Línea 2,21098712,9.596921E7,4.548581448952903
2019,10,Línea 9,8578406,3.2203069E7,3.7539688608816135
2014,4,Línea 3,18357611,7.36326945E7,4.011017256003518
2019,7,Línea 2,21735080,8.4193197E7,3.8736087927902725
2018,12,Línea 5,6332576,2.3430514E7,3.699997283885736
2020,9,Línea 8,5784995,1.9296978E7,3.3356948450257953
2017,2,Línea 9,9103954,3.4389631E7,3.777439011664602
2021,9,Línea 8,7216191,3.2715692599999994E7,4.5336511464289115
2016,5,Línea 2,23191179,9.8627201E7,4.252789433430702
2018,12,Línea 9,8576491,3.1906702E7,3.7202513242303876
2017,2,Línea 6,3823177,1.8420511E7,4.8181161897552744
2019,7,Línea A,6339371,2.5777395E7,4.066238590547863
2016,5,Línea 6,4187841,1.972612E7,4.710331648216826
2014,4,Línea 12,3734082,1.929966569E7,5.168516837605602
2018,12,Línea 7,8065828,3.7684723E7,4.672145624726935
2021,9,Línea B,7503601,3.5477845300000004E7,4.728109250478537
2019,8,Línea 4,2533687,1.0502722E7,4.145232619498778
2018,12,Línea 6,3786858,1.5272562E7,4.033043224752552
2017,2,Línea 1,18454792,7.8968814E7,4.279041129263337
2021,9,Línea 2,10014413,4.83447654E7,4.827518637387932
2020,9,Línea 6,1748002,6023601.0,3.445992052640672
2019,8,Línea 7,9727719,3.9341748E7,4.044293220229737
2016,5,Línea 5,7147462,2.713704E7,3.7967379189983803
2017,2,Línea 2,21596273,8.9526031E7,4.145438937542603
2019,10,Línea 3,19571993,7.7238066E7,3.946356714924229
2020,9,Línea 4,1081682,2790934.0,2.5801797570820257
2019,7,Línea 8,10724492,3.9721387E7,3.7038012616355163
2020,9,Línea 12,5760105,2.629802E7,4.565545246137006
2013,8,Línea 4,2643753,8489618.5,3.2111995712156167
2019,7,Línea 6,3908964,1.4930153E7,3.8194654645067083
2017,2,Línea B,11772154,5.4535668E7,4.6325989279447075
2014,4,Línea B,12365307,5.29499281E7,4.2821361491469645
2013,8,Línea 8,11284126,3.32078377E7,2.942880795552974
2018,12,Línea 12,9851609,4.9555759E7,5.030219835155862
2017,2,Línea 5,6584179,2.4824425E7,3.7703144158140294
2021,9,Línea 5,3770007,1.5167091400000002E7,4.023093697173507
2013,8,Línea A,8077194,2.41071222E7,2.9845912082834705
2019,7,Línea 3,17182676,6.7229519E7,3.9126338062825603
2021,9,Línea 3,10079556,4.8112306900000006E7,4.773256570031458
2017,2,Línea A,8160119,2.6048442E7,3.1921644770131414
2019,7,Línea 12,10963129,5.0720574E7,4.626468775474593
2020,9,Línea 2,9443715,4.3537794E7,4.610240143841698
2014,4,Línea 7,7731022,3.5382316300000004E7,4.576667392745747
2014,4,Línea A,6911986,2.3999729800000004E7,3.472190163579614
2016,5,Línea 9,9980598,3.8820178E7,3.88956433271834
2013,8,Línea 12,8354510,3.22404643E7,3.8590491004259975
2018,12,Línea B,12644416,5.3657495E7,4.2435724196356714
2019,7,Línea 7,8981475,3.7752362E7,4.203358802423878
2019,10,Línea 1,20271485,7.5566842E7,3.727740814252138
2015,9,Línea 8,11282968,5.1086337E7,4.527739243787628
2020,9,Línea 1,10331788,4.2808339E7,4.143362116992722
2019,8,Línea 1,20446875,7.6491197E7,3.740972495797035
2019,8,Línea A,7117444,2.700104E7,3.7936427740070733
2015,9,Línea 9,9522811,3.7884182E7,3.978256210272366
2019,7,Línea B,12330215,4.8763588E7,3.9548043566150306
2016,5,Línea A,8218937,2.8155388E7,3.4256726873560415
2015,9,Línea 2,23021963,9.9181403E7,4.308121032077064
2019,8,Línea 5,7022693,2.4297817E7,3.4599002120696434
2014,4,Línea 6,3705726,1.6800456E7,4.53364765770594
2021,9,Línea 9,5478283,2.4427397600000005E7,4.4589513904265266
2021,9,Línea 6,2027223,7503501.399999999,3.7013695089292096
2020,9,Línea 5,3251824,1.2658903E7,3.892862282829575
2020,9,Línea 7,3881244,1.8199953E7,4.689206089593955
2016,5,Línea 12,8657213,4.86648027E7,5.621301301007611
2019,10,Línea 2,23025549,9.1308294E7,3.9655208221093883
2019,10,Línea B,13070624,5.0925263E7,3.8961615757595047
2020,9,Línea 9,4422100,1.6969455E7,3.8374200040704642
2014,4,Línea 8,9996900,4.65345298E7,4.654895997759305
2015,9,Línea 12,3916368,2.1770562700000003E7,5.558865433483269
2016,5,Línea 3,19768844,8.7783289E7,4.44048670726523
2016,5,Línea 4,2519158,1.2011687E7,4.768135623093113
2020,2,Línea 8,10539188,4.8053678E7,4.559523750786114
2013,8,Línea 1,23854877,6.51680455E7,2.7318541822705686
2016,5,Línea 8,11066048,5.2373818E7,4.7328384984413585
2015,9,Línea 6,4392342,1.9701498E7,4.485419851186451
2021,9,Línea 4,1453778,5262144.0,3.6196338092886258
2019,10,Línea 5,6529746,2.4545475E7,3.759024470477106
2015,9,Línea 4,2567215,1.2019988E7,4.682111938423545
2021,9,Línea A,4578871,2.4239424700000003E7,5.293755753328714
2017,2,Línea 7,8349926,3.9229589E7,4.698196007964621
2017,2,Línea 8,10425971,4.5184589E7,4.333849480302602
2013,8,Línea B,14447253,4.117101350000001E7,2.849746834225164
2018,12,Línea 2,21980466,8.3740221E7,3.809756399159144
2015,9,Línea 3,19405405,8.3096757E7,4.282144948791329
2016,5,Línea 1,22078186,8.6138626E7,3.901526420694164
2019,10,Línea 8,11301813,4.5030438E7,3.984355253444735
2019,7,Línea 4,2485558,9798980.0,3.942366261418965
2019,7,Línea 1,19628611,7.4168613E7,3.778597120295471
2014,4,Línea 4,2280486,1.0993890799999999E7,4.820854326665456
2019,8,Línea 8,11594416,4.2082384E7,3.629538909074851
2014,4,Línea 9,8834243,3.2515729200000003E7,3.6806469099842514
2019,8,Línea 12,11511324,5.214236E7,4.5296579264036
2014,4,Línea 2,22878991,9.366921069999997E7,4.094114583112515
2019,8,Línea 6,4440995,1.6538703E7,3.724098540980118
2019,7,Línea 9,7882251,3.0010856E7,3.807396643420769
2019,10,Línea 6,4289240,1.7001395E7,3.963731337020078
2018,12,Línea A,8354886,2.6654115E7,3.1902428112125047
2020,2,Línea 4,2497897,1.1867121E7,4.750844810654723
2019,10,Línea A,6968926,2.7476361E7,3.9426966221193913
2013,8,Línea 7,8690993,2.6978722800000004E7,3.1042163766556947
2020,2,Línea 9,7947353,3.6912913E7,4.644680184710557
2019,8,Línea 3,20255905,7.5377391E7,3.7212551599150965
2013,8,Línea 2,26176879,7.399929819999999E7,2.826895375877315
2019,10,Línea 12,11768467,5.4103677E7,4.597342797494355
2013,8,Línea 6,4441039,1.34660647E7,3.03218789567036
2017,2,Línea 3,18201625,7.8943711E7,4.337179290310618
2020,2,Línea A,6562287,3.1404246E7,4.785564240027905
2021,9,Línea 1,12009792,5.1268915999999985E7,4.268926222868805
2019,10,Línea 4,2522139,1.1685192E7,4.633048376794459
2017,2,Línea 4,2399989,1.1430725E7,4.762823912942935
2018,12,Línea 8,10649968,4.4196283E7,4.149898196877211
2020,2,Línea 1,18145208,8.4813618E7,4.674160693005007
2020,11,Línea A,4300097,2.3555896E7,5.477991775534366
2020,4,Línea 3,5454524,2.5094199E7,4.6006212457769005
2013,9,Línea 6,4198882,1.2890777700000001E7,3.0700500037867227
2018,10,Línea 2,24210263,9.786437E7,4.042267942318512
2020,6,Línea 5,2336165,9444491.0,4.04273285491393
2015,11,Línea A,8082358,2.4670382E7,3.052374319474589
2017,9,Línea 6,2959213,1.3692643E7,4.627123157407054
2018,4,Línea 7,8640130,4.2344278E7,4.900884361693632
2018,10,Línea 12,11748488,5.7237339E7,4.871889812544389
2020,4,Línea 1,5945946,2.4081113E7,4.050005331363588
2013,9,Línea 4,2527226,8094434.8,3.2028931326284233
2020,6,Línea 3,6056033,2.9024743E7,4.7926989499561845
2015,11,Línea 6,4456593,2.0705026E7,4.64593154456779
2017,9,Línea A,5882491,2.0142354E7,3.4241198159079205
2018,4,Línea 6,4160933,1.8773916E7,4.511948642287679
2018,10,Línea 8,11595636,4.7328246E7,4.081556716682035
2020,6,Línea 7,2522521,1.1552714E7,4.579828671396591
2015,11,Línea 9,9651136,3.7414998E7,3.8767454940019497
2018,6,Línea 2,21935640,9.2280779E7,4.206887923033018
2013,9,Línea 1,22653216,5.9322483E7,2.6187223482970365
2018,6,Línea 6,4078335,1.629787E7,3.9962067853670677
2018,4,Línea 5,7411713,2.6397803E7,3.5616331879013665
2019,9,Línea 2,21926163,8.2812471E7,3.7768792925602166
2017,9,Línea 7,6121580,3.0117887E7,4.919953182021635
2018,6,Línea 4,2430885,1.0870122E7,4.471672662425413
2018,6,Línea A,7570772,2.5046883E7,3.3083657782852263
2020,6,Línea 9,3081862,1.1645784E7,3.7788142363285573
2020,6,Línea 4,670409,1846596.0,2.7544319959905073
2020,11,Línea 5,3436945,1.4551223E7,4.233766615409906
2013,9,Línea 3,20507127,5.76341495E7,2.8104448516849776
2019,9,Línea 4,2368272,1.0159301E7,4.289752612875548
2020,11,Línea 4,1265190,3666533.0,2.8980097850915674
2020,6,Línea 6,1312848,4208302.0,3.205475424420801
2018,9,Línea 7,8778368,3.9612101E7,4.512467579395167
2018,9,Línea 1,19979290,7.5794626E7,3.7936596345515783
2017,9,Línea 12,6744383,3.636903E7,5.392491796506811
2017,9,Línea 1,14046078,5.8314011E7,4.151622324751436
2019,4,Línea 3,16405652,6.995682E7,4.264190170558293
2020,4,Línea 7,2253063,1.0840716E7,4.8115458822056905
2018,10,Línea 5,7673783,2.6315362E7,3.429255427212367
2018,6,Línea 9,9048333,3.2837906E7,3.6291663889912096
2018,10,Línea 1,21486214,8.3096353E7,3.8674264809984673
2015,11,Línea B,13202559,5.9385242E7,4.4980099691279545
2018,9,Línea 9,9269116,3.4047608E7,3.6732314063174956
2020,4,Línea 5,2187944,8058736.0,3.683246006296322
2017,9,Línea 8,7324499,3.4274971E7,4.679496986756364
2018,4,Línea 1,19261340,8.0336933E7,4.170890135369605
2013,9,Línea B,13665723,3.907282785E7,2.859184826884022
2019,4,Línea 1,18156740,7.0729747E7,3.8955091607854713
2019,9,Línea 3,18004698,7.0856079E7,3.9354216882726942
2019,4,Línea 12,9987457,4.879122E7,4.885249568533812
2020,4,Línea 2,5694557,2.4466368E7,4.296447994110868
2018,9,Línea 2,22252303,8.7326261E7,3.924369580982247
2013,9,Línea 2,23082951,6.28868869E7,2.724386795258544
2015,11,Línea 2,23211656,1.01220307E8,4.36075336460268
2020,4,Línea 8,3490999,1.3072624E7,3.7446656386896704
2013,9,Línea 7,8092805,2.5509793000000004E7,3.152157132168637
2019,4,Línea A,5935703,2.5333273E7,4.267948211020666
2020,6,Línea 12,3818429,1.644829E7,4.307606609943513
2018,6,Línea 7,8825961,4.1449558E7,4.696322360817139
2018,9,Línea A,8480460,2.6876558E7,3.1692335085596772
2015,11,Línea 1,21244108,8.853672E7,4.167589432326365
2020,4,Línea 9,2802693,1.0500034E7,3.7464089002969643
2018,4,Línea B,12336710,5.4105662E7,4.385744821755557
2019,9,Línea A,6516326,2.5725701E7,3.9478842832602297
2018,6,Línea 1,19756607,7.9190839E7,4.008321823681566
2020,4,Línea B,4086236,1.6227611E7,3.9712857994496646
2019,9,Línea 8,10476433,3.9913938E7,3.8098786104010784
2018,10,Línea 9,10127572,3.7662108E7,3.7187697110422913
2018,10,Línea 4,2736443,1.2574789E7,4.595304561432488
2020,4,Línea 12,3736085,1.6291223E7,4.360506519525118
2020,11,Línea 8,5817909,2.28627E7,3.9297108290968454
2020,11,Línea 7,4077100,1.8997462E7,4.65955262318805
2018,10,Línea 6,4742048,1.8763162E7,3.956763406865557
2020,6,Línea 2,6533190,2.9714021E7,4.548164219929315
2020,11,Línea 12,6078968,2.813579E7,4.628382646528161
2018,6,Línea B,12357328,5.1630395E7,4.1781196549933775
2020,6,Línea B,4359986,1.7332951E7,3.97546024230353
2020,11,Línea 2,10325667,4.7062774E7,4.557843478779628
2020,6,Línea A,2555704,1.3942245E7,5.455344202615013
2020,6,Línea 8,3605424,1.3705135E7,3.801254720665309
2018,9,Línea 12,10615424,5.2639588E7,4.958783370310974
2019,9,Línea B,12227746,4.8210914E7,3.9427474204976125
2018,10,Línea B,13498414,5.4744813E7,4.055647796844874
2018,4,Línea 3,19115381,7.9953149E7,4.182660497324118
2018,6,Línea 5,6955250,2.4283074E7,3.491330146292369
2018,10,Línea A,9558408,2.8041358E7,2.933684981850534
2015,11,Línea 8,11272807,5.1771251E7,4.59257849442468
2018,9,Línea 5,7232565,2.5665056E7,3.5485413542774937
2015,11,Línea 3,19032652,8.4627261E7,4.446425069927197
2018,4,Línea 12,10261294,5.3423474E7,5.206309652564287
2018,9,Línea 6,4200072,1.8250758E7,4.345344079815774
2018,9,Línea 3,18189908,7.8982777E7,4.342120751792697
2018,9,Línea B,12636640,5.4079389E7,4.279570281340609
2018,10,Línea 3,20066562,8.5399585E7,4.255815470532521
2020,11,Línea 6,1875683,5837840.0,3.112380930039884
2015,11,Línea 4,2571851,1.2430341E7,4.8332275081254705
2018,9,Línea 4,2475186,1.1377561E7,4.596648898305016
2015,11,Línea 5,7071649,2.7217599E7,3.84883341919261
2017,9,Línea B,8698755,3.7350128E7,4.293732608861843
2018,4,Línea 2,22897487,9.1251631E7,3.9852247104671354
2018,4,Línea 9,9301347,3.3351402E7,3.585652916722707
2019,9,Línea 1,18809281,6.8856694E7,3.6607828869163046
2020,11,Línea 3,9585711,4.6585362E7,4.859875495933479
2020,6,Línea 1,7079478,3.055888E7,4.316544242386232
2020,4,Línea 6,1231660,3632485.0,2.9492595359108846
2019,9,Línea 6,4072673,1.5617292E7,3.834654046617541
2018,10,Línea 7,10017402,4.4670953E7,4.459335164945961
2018,6,Línea 12,10425896,5.2578317E7,5.043050208826177
2019,9,Línea 12,10896678,5.0754433E7,4.657789557514684
