año,mes,linea,afluencia_total,ingreso_total,ingreso_por_pasajero
2013,1,Línea A,7099433,2.12645971E7,2.99525287441969
2015,5,Línea 5,6756384,2.79379056E7,4.135038150584692
2019,12,Línea 9,7839725,3.0572959E7,3.8997489070088553
2014,12,Línea 9,9430899,3.5638874300000004E7,3.7789477227992796
2020,3,Línea 2,17043535,7.4817616E7,4.389794488056615
2020,8,Línea 1,9903033,4.3953046E7,4.438341869607019
2014,12,Línea B,13396855,6.097376629999999E7,4.551349275632228
2020,3,Línea 8,9302829,3.9113783E7,4.20450413524746
2015,1,Línea 8,11664416,5.0695217900000006E7,4.346142824467166
2021,8,Línea 1,11972942,5.345837735275552E7,4.464932457933523
2021,8,Línea 6,1935127,7586678.284009098,3.9205066561569852
2017,12,Línea A,7781317,2.823451E7,3.628500162633138
2017,12,Línea 9,8859977,3.3886689E7,3.824692660037379
2015,3,Línea A,8618643,2.5972575700000003E7,3.0135342303887054
2019,12,Línea 7,8084755,3.7231111E7,4.605100711153275
2020,3,Línea 7,6759307,3.440365E7,5.08981911903099
2021,1,Línea B,5897290,2.7652707E7,4.689053277013679
2015,1,Línea 6,4007851,1.86867965E7,4.662547709483212
2015,5,Línea 7,8109503,3.8629289589999996E7,4.763459559728876
2013,1,Línea 1,21225260,5.934503241E7,2.795962565829582
2015,5,Línea 2,24157644,9.891155539999999E7,4.0944206065790185
2021,8,Línea A,4485900,2.604862877191491E7,5.806778744937451
2019,12,Línea 2,21723238,9.1429628E7,4.20883976873061
2020,7,Línea 4,1040457,3025987.0,2.908324899539337
2020,7,Línea 8,5124968,1.9558697E7,3.8163549508992056
2020,12,Línea B,7252723,2.9501229E7,4.067607297286826
2014,5,Línea 5,7064765,2.7528634500000004E7,3.8966100783253235
2014,1,Línea 3,19146336,7.26108969E7,3.792417353377691
2014,1,Línea 1,21061750,8.32845961E7,3.954305606134343
2015,8,Línea B,13242887,5.8620514E7,4.426566050136953
2014,3,Línea 6,3971495,1.94803568E7,4.905043768152799
2013,11,Línea 2,25615455,7.090685169999999E7,2.7681277455348727
2013,5,Línea 5,6931044,1.74401034E7,2.516230368758299
2013,5,Línea 4,2456427,7635277.5,3.108285937257651
2015,8,Línea 8,11475115,5.1651415E7,4.501167526425661
2014,5,Línea 7,8147382,3.886645670000001E7,4.770422781207511
2020,12,Línea 7,3914115,1.9514713E7,4.985728063687449
2018,7,Línea 12,9977465,5.0675717E7,5.079017265407596
2014,3,Línea 1,21279237,9.0053227E7,4.231976315692147
2014,1,Línea 9,9580433,3.13585231E7,3.273184322671011
2018,5,Línea 7,8830983,4.3285776E7,4.901580718703682
2014,5,Línea A,7937133,2.5689932800000004E7,3.2366766186228713
2018,5,Línea 9,9572178,3.5701499E7,3.7297153270655854
2013,5,Línea 2,25205553,6.74509141E7,2.676033892214148
2020,7,Línea 3,7756280,3.8396806E7,4.9504151474676
2018,7,Línea 3,17249209,7.1474961E7,4.143666008105067
2014,3,Línea 9,10007121,3.74767635E7,3.7450095287146024
2013,5,Línea 7,8181500,2.71886015E7,3.323180529242804
2015,8,Línea 3,19511044,8.9961014E7,4.610773980110957
2013,11,Línea 6,4381209,1.3207224200000001E7,3.014515901889182
2014,6,Línea 5,6475740,2.51234218E7,3.8796217575134273
2014,1,Línea A,6902830,2.30385702E7,3.337554336409849
2020,10,Línea 3,10092185,5.0371386E7,4.99112788756845
2014,6,Línea 3,18580847,7.947684569999999E7,4.277353217536315
2018,7,Línea A,7678640,2.4957151E7,3.2502045935217696
2014,6,Línea 2,22782904,9.705295899999997E7,4.259902907899711
2020,12,Línea 3,8875824,4.4942514E7,5.063475120732453
2018,5,Línea 2,23026604,9.2789878E7,4.029681406776266
2014,3,Línea 3,20378077,8.190382180000001E7,4.019212499785922
2020,10,Línea A,4486326,2.4596536E7,5.4825565507277005
2020,10,Línea 8,6218556,2.1647313E7,3.481083550586342
2020,12,Línea 6,1817709,5702323.0,3.137093451151972
2014,3,Línea 2,24712994,1.010335508E8,4.088276426563289
2014,5,Línea 9,9801719,3.73912115E7,3.8147606047469838
2013,11,Línea A,7384763,2.3147804400000006E7,3.1345358544343274
2013,5,Línea B,14018389,3.97137761E7,2.8329771773347137
2020,12,Línea 8,5821029,2.2499381E7,3.865189642587247
2015,8,Línea 2,24125125,1.04980534E8,4.3515021787451875
2014,5,Línea 6,3987439,1.84034085E7,4.615345463592045
2014,3,Línea 12,5392997,2.9100673900000002E7,5.396011512708055
2018,5,Línea 1,19902893,8.0940152E7,4.066753109711237
2014,3,Línea 7,8282668,3.948889E7,4.767653369663012
2020,7,Línea 2,8479102,3.8958599E7,4.5946609676354875
2013,11,Línea 8,11557110,3.538042350000001E7,3.0613556070678576
2020,12,Línea A,4400044,2.4119381E7,5.481622683773162
2020,12,Línea 4,1310410,3754896.0,2.865436008577468
2020,12,Línea 12,5806554,2.802344E7,4.826174009576076
2020,10,Línea 1,12234174,5.3587122E7,4.380117693274593
2014,5,Línea 3,19680753,8.336382755999999E7,4.235804776372123
2020,10,Línea 12,6411248,3.0534974E7,4.7627192084910766
2014,1,Línea 5,6951147,2.4914681400000002E7,3.5842547136465397
2018,7,Línea 9,9070455,3.3092569E7,3.648391287978387
2014,1,Línea 12,7692283,4.091164650000001E7,5.318531117484888
2014,5,Línea 8,10972411,4.9948686699999996E7,4.552207049116188
2020,12,Línea 2,9728552,4.5738354E7,4.701455468398586
2015,8,Línea A,6443930,1.6358331E7,2.5385643543613914
2014,1,Línea 6,3803620,1.67712139E7,4.409276925665551
2014,5,Línea 2,24222803,1.0079734619999999E8,4.161258554594197
2020,12,Línea 9,4331004,1.8692498E7,4.315973386309502
2020,12,Línea 1,11255686,5.1590785E7,4.58353093716367
2015,8,Línea 6,4230503,1.9806807E7,4.681903546694093
2015,8,Línea 12,3796748,2.20612369E7,5.810561275070139
2018,5,Línea 6,4293243,1.8624189E7,4.3380234941278655
2013,11,Línea 5,7260794,1.9456492E7,2.6796645105204746
2020,10,Línea 7,4339706,2.0264345E7,4.669520239389489
2014,6,Línea 9,8895836,3.485646850000001E7,3.91829036641413
2018,7,Línea 4,2370647,1.0496511E7,4.4276988518324325
